22	P22303	ACES_HUMAN	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Homo sapiens (Human)	614
23	Q99572	P2RX7_HUMAN	reviewed	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	P2RX7	Homo sapiens (Human)	595
24	P49682	CXCR3_HUMAN	reviewed	C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183)	CXCR3 GPR9	Homo sapiens (Human)	368
25	O95136	S1PR2_HUMAN	reviewed	Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5)	S1PR2 EDG5	Homo sapiens (Human)	353
26	P56524	HDAC4_HUMAN	reviewed	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	HDAC4 KIAA0288	Homo sapiens (Human)	1084
27	P35968	VGFR2_HUMAN	reviewed	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	KDR FLK1 VEGFR2	Homo sapiens (Human)	1356
28	O00763	ACACB_HUMAN	reviewed	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACACB ACC2 ACCB	Homo sapiens (Human)	2458
29	Q13085	ACACA_HUMAN	reviewed	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (ACC-alpha) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACACA ACAC ACC1 ACCA	Homo sapiens (Human)	2346
30	Q9UNQ0	ABCG2_HUMAN	reviewed	ATP-binding cassette sub-family G member 2 (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	ABCG2 ABCP BCRP BCRP1 MXR	Homo sapiens (Human)	655
31	P98161	PKD1_HUMAN	reviewed	Polycystin-1 (Autosomal dominant polycystic kidney disease 1 protein)	PKD1	Homo sapiens (Human)	4303
32	Q13563	PKD2_HUMAN	reviewed	Polycystin-2 (Autosomal dominant polycystic kidney disease type II protein) (Polycystic kidney disease 2 protein) (Polycystwin) (R48321) (Transient receptor potential cation channel subfamily P member 2)	PKD2 TRPP2	Homo sapiens (Human)	968
33	Q15139	KPCD1_HUMAN	reviewed	Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu)	PRKD1 PKD PKD1 PRKCM	Homo sapiens (Human)	912
34	P08253	MMP2_HUMAN	reviewed	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660
35	P78536	ADA17_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	ADAM17 CSVP TACE	Homo sapiens (Human)	824
36	Q8BGY9	SC5A7_MOUSE	reviewed	High affinity choline transporter 1 (Hemicholinium-3-sensitive choline transporter) (CHT) (Solute carrier family 5 member 7)	Slc5a7 Cht1	Mus musculus (Mouse)	580
37	A5X5Y0	5HT3E_HUMAN	reviewed	5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)	HTR3E	Homo sapiens (Human)	456
38	O95264	5HT3B_HUMAN	reviewed	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	HTR3B	Homo sapiens (Human)	441
39	Q70Z44	5HT3D_HUMAN	reviewed	5-hydroxytryptamine receptor 3D (5-HT3-D) (5-HT3D) (Serotonin receptor 3D)	HTR3D	Homo sapiens (Human)	454
40	Q8WXA8	5HT3C_HUMAN	reviewed	5-hydroxytryptamine receptor 3C (5-HT3-C) (5-HT3C) (Serotonin receptor 3C)	HTR3C	Homo sapiens (Human)	447
41	Q07912	ACK1_HUMAN	reviewed	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1	Homo sapiens (Human)	1038
42	Q05941	ACHA7_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Rattus norvegicus (Rat)	502
43	Q07523	HAOX2_RAT	reviewed	Hydroxyacid oxidase 2 (HAOX2) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase, peroxisomal) (Long chain alpha-hydroxy acid oxidase) (Long-chain L-2-hydroxy acid oxidase)	Hao2 Hao3 Haox2	Rattus norvegicus (Rat)	353
44	Q12809	KCNH2_HUMAN	reviewed	Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1)	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159
45	P32238	CCKAR_HUMAN	reviewed	Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R)	CCKAR CCKRA	Homo sapiens (Human)	428
46	P32239	GASR_HUMAN	reviewed	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	CCKBR CCKRB	Homo sapiens (Human)	447
47	P97612	FAAH1_RAT	reviewed	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Oleamide hydrolase 1)	Faah Faah1	Rattus norvegicus (Rat)	579
48	Q6RI86	TRPA1_RAT	reviewed	Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1)	Trpa1 Anktm1	Rattus norvegicus (Rat)	1125
49	Q8NER1	TRPV1_HUMAN	reviewed	Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1)	TRPV1 VR1	Homo sapiens (Human)	839
50	P34976	AGTR1_RABIT	reviewed	Type-1 angiotensin II receptor (Angiotensin II type-1 receptor) (AT1)	AGTR1	Oryctolagus cuniculus (Rabbit)	359
51	O00767	ACOD_HUMAN	reviewed	Acyl-CoA desaturase (EC 1.14.19.1) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase) (Stearoyl-CoA desaturase) (hSCD1)	SCD	Homo sapiens (Human)	359
52	Q64663	P2RX7_RAT	reviewed	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	P2rx7	Rattus norvegicus (Rat)	595
53	Q9GZV3	SC5A7_HUMAN	reviewed	High affinity choline transporter 1 (Hemicholinium-3-sensitive choline transporter) (CHT) (Solute carrier family 5 member 7)	SLC5A7 CHT1	Homo sapiens (Human)	580
54	Q8R431	MGLL_RAT	reviewed	Monoglyceride lipase (MGL) (EC 3.1.1.23) (Monoacylglycerol lipase) (MAGL)	Mgll Mgl2	Rattus norvegicus (Rat)	303
55	Q99685	MGLL_HUMAN	reviewed	Monoglyceride lipase (MGL) (EC 3.1.1.23) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase) (MAGL)	MGLL	Homo sapiens (Human)	303
56	P15145	AMPN_PIG	reviewed	Aminopeptidase N (AP-N) (pAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (gp130) (CD antigen CD13)	ANPEP	Sus scrofa (Pig)	963
57	P51449	RORG_HUMAN	reviewed	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	RORC NR1F3 RORG RZRG	Homo sapiens (Human)	518
58	P09581	CSF1R_MOUSE	reviewed	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	Csf1r Csfmr Fms	Mus musculus (Mouse)	977
59	P34995	PE2R1_HUMAN	reviewed	Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor)	PTGER1	Homo sapiens (Human)	402
60	P09917	LOX5_HUMAN	reviewed	Arachidonate 5-lipoxygenase (5-LO) (5-lipoxygenase) (EC 1.13.11.34)	ALOX5 LOG5	Homo sapiens (Human)	674
61	P18031	PTN1_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	PTPN1 PTP1B	Homo sapiens (Human)	435
62	P47811	MK14_MOUSE	reviewed	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha)	Mapk14 Crk1 Csbp1 Csbp2	Mus musculus (Mouse)	360
63	P10415	BCL2_HUMAN	reviewed	Apoptosis regulator Bcl-2	BCL2	Homo sapiens (Human)	239
64	Q07817	B2CL1_HUMAN	reviewed	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	BCL2L1 BCL2L BCLX	Homo sapiens (Human)	233
65	P35372	OPRM_HUMAN	reviewed	Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP)	OPRM1 MOR1	Homo sapiens (Human)	400
66	P41145	OPRK_HUMAN	reviewed	Kappa-type opioid receptor (K-OR-1) (KOR-1)	OPRK1 OPRK	Homo sapiens (Human)	380
67	P41146	OPRX_HUMAN	reviewed	Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor)	OPRL1 OOR ORL1	Homo sapiens (Human)	370
68	Q13285	STF1_HUMAN	reviewed	Steroidogenic factor 1 (SF-1) (STF-1) (Adrenal 4-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP)	NR5A1 AD4BP FTZF1 SF1	Homo sapiens (Human)	461
69	O95977	S1PR4_HUMAN	reviewed	Sphingosine 1-phosphate receptor 4 (S1P receptor 4) (S1P4) (Endothelial differentiation G-protein coupled receptor 6) (Sphingosine 1-phosphate receptor Edg-6) (S1P receptor Edg-6)	S1PR4 EDG6	Homo sapiens (Human)	384
70	P21453	S1PR1_HUMAN	reviewed	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	S1PR1 CHEDG1 EDG1	Homo sapiens (Human)	382
71	Q99500	S1PR3_HUMAN	reviewed	Sphingosine 1-phosphate receptor 3 (S1P receptor 3) (S1P3) (Endothelial differentiation G-protein coupled receptor 3) (Sphingosine 1-phosphate receptor Edg-3) (S1P receptor Edg-3)	S1PR3 EDG3	Homo sapiens (Human)	378
72	P11229	ACM1_HUMAN	reviewed	Muscarinic acetylcholine receptor M1	CHRM1	Homo sapiens (Human)	460
73	P48067	SC6A9_HUMAN	reviewed	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)	SLC6A9	Homo sapiens (Human)	706
74	Q96RI1	NR1H4_HUMAN	reviewed	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	NR1H4 BAR FXR HRR1 RIP14	Homo sapiens (Human)	486
75	Q9Y251	HPSE_HUMAN	reviewed	Heparanase (EC 3.2.1.166) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit]	HPSE HEP HPA HPA1 HPR1 HPSE1 HSE1	Homo sapiens (Human)	543
76	P00523	SRC_CHICK	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC	Gallus gallus (Chicken)	533
77	P51681	CCR5_HUMAN	reviewed	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195)	CCR5 CMKBR5	Homo sapiens (Human)	352
78	O15379	HDAC3_HUMAN	reviewed	Histone deacetylase 3 (HD3) (EC 3.5.1.98) (RPD3-2) (SMAP45)	HDAC3	Homo sapiens (Human)	428
79	Q9UBN7	HDAC6_HUMAN	reviewed	Histone deacetylase 6 (HD6) (EC 3.5.1.98)	HDAC6 KIAA0901 JM21	Homo sapiens (Human)	1215
80	Q08881	ITK_HUMAN	reviewed	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK	Homo sapiens (Human)	620
81	O14920	IKKB_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB)	IKBKB IKKB	Homo sapiens (Human)	756
82	P21397	AOFA_HUMAN	reviewed	Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	MAOA	Homo sapiens (Human)	527
83	P27338	AOFB_HUMAN	reviewed	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	MAOB	Homo sapiens (Human)	520
84	Q96LD8	SENP8_HUMAN	reviewed	Sentrin-specific protease 8 (EC 3.4.22.68) (Deneddylase-1) (NEDD8-specific protease 1) (Protease, cysteine 2) (Sentrin/SUMO-specific protease SENP8)	SENP8 DEN1 NEDP1 PRSC2 FKSG8	Homo sapiens (Human)	212
85	Q9BQF6	SENP7_HUMAN	reviewed	Sentrin-specific protease 7 (EC 3.4.22.68) (SUMO-1-specific protease 2) (Sentrin/SUMO-specific protease SENP7)	SENP7 KIAA1707 SSP2 SUSP2	Homo sapiens (Human)	1050
86	Q9GZR1	SENP6_HUMAN	reviewed	Sentrin-specific protease 6 (EC 3.4.22.68) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	SENP6 KIAA0797 SSP1 SUSP1 FKSG6	Homo sapiens (Human)	1112
87	P04150	GCR_HUMAN	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	NR3C1 GRL	Homo sapiens (Human)	777
88	P06536	GCR_RAT	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	Nr3c1 Grl	Rattus norvegicus (Rat)	795
89	Q62226	SHH_MOUSE	reviewed	Sonic hedgehog protein (SHH) (HHG-1) [Cleaved into: Sonic hedgehog protein N-product (Sonic hedgehog protein 19 kDa product); Sonic hedgehog protein C-product (Sonic hedgehog protein 27 kDa product)]	Shh Hhg1	Mus musculus (Mouse)	437
90	O75907	DGAT1_HUMAN	reviewed	Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20) (ACAT-related gene product 1) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase)	DGAT1 AGRP1 DGAT	Homo sapiens (Human)	488
91	P42574	CASP3_HUMAN	reviewed	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
92	P42575	CASP2_HUMAN	reviewed	Caspase-2 (CASP-2) (EC 3.4.22.55) (Neural precursor cell expressed developmentally down-regulated protein 2) (NEDD-2) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12]	CASP2 ICH1 NEDD2	Homo sapiens (Human)	452
93	P04626	ERBB2_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	1255
94	P08842	STS_HUMAN	reviewed	Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase)	STS ARSC1	Homo sapiens (Human)	583
95	P21556	PTAFR_CAVPO	reviewed	Platelet-activating factor receptor (PAF-R) (PAFr)	PTAFR	Cavia porcellus (Guinea pig)	342
96	P16257	TSPO_RAT	reviewed	Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)	Tspo Bzrp Mbr	Rattus norvegicus (Rat)	169
97	P08069	IGF1R_HUMAN	reviewed	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R	Homo sapiens (Human)	1367
98	P42345	MTOR_HUMAN	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
99	P14324	FPPS_HUMAN	reviewed	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	FDPS FPS KIAA1293	Homo sapiens (Human)	419
100	P25774	CATS_HUMAN	reviewed	Cathepsin S (EC 3.4.22.27)	CTSS	Homo sapiens (Human)	331
101	P43235	CATK_HUMAN	reviewed	Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X)	CTSK CTSO CTSO2	Homo sapiens (Human)	329
102	P10828	THB_HUMAN	reviewed	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	THRB ERBA2 NR1A2 THR1	Homo sapiens (Human)	461
103	P31941	ABC3A_HUMAN	reviewed	DNA dC->dU-editing enzyme APOBEC-3A (A3A) (EC 3.5.4.-) (Phorbolin-1)	APOBEC3A	Homo sapiens (Human)	199
104	Q9HC16	ABC3G_HUMAN	reviewed	DNA dC->dU-editing enzyme APOBEC-3G (EC 3.5.4.-) (APOBEC-related cytidine deaminase) (APOBEC-related protein) (ARCD) (APOBEC-related protein 9) (ARP-9) (CEM-15) (CEM15) (Deoxycytidine deaminase) (A3G)	APOBEC3G MDS019	Homo sapiens (Human)	384
105	P12268	IMDH2_HUMAN	reviewed	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II)	IMPDH2 IMPD2	Homo sapiens (Human)	514
106	P04818	TYSY_HUMAN	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TYMS TS OK/SW-cl.29	Homo sapiens (Human)	313
107	P21554	CNR1_HUMAN	reviewed	Cannabinoid receptor 1 (CB-R) (CB1) (CANN6)	CNR1 CNR	Homo sapiens (Human)	472
108	P34972	CNR2_HUMAN	reviewed	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	CNR2 CB2A CB2B	Homo sapiens (Human)	360
109	P04406	G3P_HUMAN	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335
110	P42337	PK3CA_MOUSE	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	Pik3ca	Mus musculus (Mouse)	1068
111	P42338	PK3CB_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)	PIK3CB PIK3C1	Homo sapiens (Human)	1070
112	O75116	ROCK2_HUMAN	reviewed	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	ROCK2 KIAA0619	Homo sapiens (Human)	1388
113	Q13464	ROCK1_HUMAN	reviewed	Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)	ROCK1	Homo sapiens (Human)	1354
114	Q15858	SCN9A_HUMAN	reviewed	Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7)	SCN9A NENA	Homo sapiens (Human)	1988
115	P12822	ACE_RABIT	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	ACE DCP1	Oryctolagus cuniculus (Rabbit)	1310
