Index	TID	Accession	Synonym	Description
204	107663	P0A070	spsB	Signal peptidase IB
205	107664	Q53GL7	PARP10	Poly [ADP-ribose] polymerase 10
206	107667	Q80XI6	Mlk3	Mitogen-activated protein kinase kinase kinase 11
207	12438	P10649	Gstm1	Glutathione S-transferase Mu 1
208	103646	Q99986	VRK1	Serine/threonine-protein kinase VRK1
209	100945	Q12778	FKHR 	Forkhead box protein O1
210	109446	O94953	JHDM3B 	Lysine-specific demethylase 4B
211	109444	A0A060INS8	Cathepsin H	Cathepsin H
212	109443	Q868D6	sub-1	Subtilisin-like serine protease
213	11168	P30550	GRPR	Gastrin-releasing peptide receptor
214	11169	P21729	Grpr	Gastrin-releasing peptide receptor
215	103158	Q63633	Kcc2	Solute carrier family 12 member 5
216	11165	Q15125	EBP	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase
217	103154	Q5S007	PARK8	Leucine-rich repeat serine/threonine-protein kinase 2
218	103155	Q12974	PRL2 	Protein tyrosine phosphatase type IVA 2
219	11160	P51452	VHR	Dual specificity protein phosphatase 3
220	101493	P78325	MS2	Disintegrin and metalloproteinase domain-containing protein 8
221	11162	P29703	RAM2	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
222	11163	Q05193	DNM	Dynamin-1
223	109840	P17443	None	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
224	109841	Q2NNR4	Cysltr2	Cysteinyl leukotriene receptor 2
225	109846	O35235	Opgl 	Tumor necrosis factor ligand superfamily member 11
226	12877	P00921	CA2	Carbonic anhydrase 2
227	109585	Q8TE04	PANK	Pantothenate kinase 1
228	105175	P78508	KCNJ10	ATP-sensitive inward rectifier potassium channel 10
229	104275	Q96Q15	ATX 	Serine/threonine-protein kinase SMG1
230	100571	Q9NSD5	GAT2	Sodium- and chloride-dependent GABA transporter 2
231	12832	P15207	Nr3c4	Androgen receptor
232	12831	P19091	Nr3c4	Androgen receptor
233	12830	P14925	Pam	Peptidyl-glycine alpha-amidating monooxygenase
234	100574	Q9FH76	CYP707A3	Abscisic acid 8'-hydroxylase 3
235	100577	Q95WR6	Cysteine protease	Cysteine protease
236	101498	P80366	Fe(3+)-Zn(2+) purple acid phosphatase	Fe(3+)-Zn(2+) purple acid phosphatase
237	100579	Q8TDS4	GPR109A 	Hydroxycarboxylic acid receptor 2
238	100578	Q8WS26	Farnesyl diphosphate synthase	Farnesyl diphosphate synthase
239	12839	P70604	Kcnn2	Small conductance calcium-activated potassium channel protein 2
240	12838	P70606	Sk1	Small conductance calcium-activated potassium channel protein 1
241	105413	Q6DE08	airk2-a	Aurora kinase B-A
242	12300	Q5SWU9	Acac 	Acetyl-CoA carboxylase 1
243	105354	P97313	Xrcc7	DNA-dependent protein kinase catalytic subunit
244	103719	P11940	PAB1 	Polyadenylate-binding protein 1
245	12684	Q15120	PDHK3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial
246	105352	Q460N5	BAL2 	Poly [ADP-ribose] polymerase 14
247	105412	Q99028	COMT	Catechol O-methyltransferase
248	103715	P04618	rev	Protein Rev
249	103716	P05866	rev	Protein Rev
250	103717	P09372	None	Protein GrpE
251	101161	P12314	FCG1 	High affinity immunoglobulin gamma Fc receptor I
252	103972	P17861	TREB5 	X-box-binding protein 1
253	101277	O14684	MGST1L1 	Prostaglandin E synthase
254	103975	P31941	APOBEC3A	DNA dC->dU-editing enzyme APOBEC-3A
255	103976	P32897	MAS6 	Mitochondrial import inner membrane translocase subunit TIM23
256	104440	Q09429	Sur 	ATP-binding cassette sub-family C member 8
257	10766	P22443	Arom 	Aromatase
258	10965	P04177	Th	Tyrosine 3-monooxygenase
259	30018	P53667	LIMK	LIM domain kinase 1
260	10480	Q00534	CDKN6	Cyclin-dependent kinase 6
261	10886	Q63449	Nr3c3	Progesterone receptor
262	101162	P12644	BMP2B 	Bone morphogenetic protein 4
263	10880	P05129	PKCG	Protein kinase C gamma type
264	10881	O88554	Adprt2 	Poly [ADP-ribose] polymerase 2
265	10963	Q9QUR6	Pep	Prolyl endopeptidase
266	11575	P41597	CMKBR2	C-C chemokine receptor type 2
267	11574	P25024	CMKAR1 	C-X-C chemokine receptor type 1
268	11573	P29474	NOS3	Nitric oxide synthase, endothelial
269	11570	P17405	ASM	Sphingomyelin phosphodiesterase
270	103574	Q9H237	MG61 	Protein-serine O-palmitoleoyltransferase porcupine
271	101276	Q91ZY2	Hrh4	Histamine H4 receptor
272	103576	Q9JLN9	Frap 	Serine/threonine-protein kinase mTOR
273	105214	Q07969	Fat	Platelet glycoprotein 4
274	11379	Q04912	PTK8 	Macrophage-stimulating protein receptor
275	10961	P37238	Nr1c3	Peroxisome proliferator-activated receptor gamma
276	103572	Q96B36	PRAS40 	Proline-rich AKT1 substrate 1
277	102883	P46406	GAPD	Glyceraldehyde-3-phosphate dehydrogenase
278	11377	Q05921	Rns4	2-5A-dependent ribonuclease
279	101166	P13601	Aldh-pb 	Aldehyde dehydrogenase, cytosolic 1
280	103579	Q6ZVD8	KIAA0931 	PH domain leucine-rich repeat-containing protein phosphatase 2
281	102550	Q9ZB22	Endo-beta-N-acetylglucosaminidase	Endo-beta-N-acetylglucosaminidase
282	100179	P24942	Eaat1	Excitatory amino acid transporter 1
283	105211	Q8VHL0	Slc14a1	Urea transporter 1
284	105649	Q16875	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3
285	100177	P13661	oxa1	Beta-lactamase OXA-1
286	100176	Q43077	Primary amine oxidase	Primary amine oxidase
287	100171	P08170	LOX1	Seed linoleate 13S-lipoxygenase-1
288	100170	P01024	CPAMD1	Complement C3
289	105612	P41226	UBE1L 	Ubiquitin-like modifier-activating enzyme 7
290	104382	P0A0K8	gyrB	DNA gyrase subunit B
291	104381	P9WMW7	murX	Phospho-N-acetylmuramoyl-pentapeptide-transferase
292	104386	P34884	Mif	Macrophage migration inhibitory factor
293	12713	P05024	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
294	12711	Q9NZ42	PEN2	Gamma-secretase subunit PEN-2
295	12714	P06685	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1
296	12715	Q07001	ACHRD	Acetylcholine receptor subunit delta
297	12718	O00141	SGK	Serine/threonine-protein kinase Sgk1
298	12719	P48974	Avpr1b	Vasopressin V1b receptor
299	10970	Q14012	CAMK1	Calcium/calmodulin-dependent protein kinase type 1
300	10971	Q16566	CAMK 	Calcium/calmodulin-dependent protein kinase type IV
301	10972	O08562	Scn9a	Sodium channel protein type 9 subunit alpha
302	109837	P15907	SIAT1	Beta-galactoside alpha-2,6-sialyltransferase 1
303	101158	P11344	Tyr	Tyrosinase
304	101159	P11413	G6PD	Glucose-6-phosphate 1-dehydrogenase
305	10977	P10253	GAA	Lysosomal alpha-glucosidase
306	104474	P10589	EAR3 	COUP transcription factor 1
307	10979	P17948	FLT 	Vascular endothelial growth factor receptor 1
308	101624	P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme
309	104069	O15439	MRP4	Multidrug resistance-associated protein 4
310	100667	O93400	actb	Actin, cytoplasmic 1
311	101152	A5A4K8	MLNR	Motilin receptor
312	101621	P04792	HSP27 	Heat shock protein beta-1
313	11289	P97612	Faah1	Fatty-acid amide hydrolase 1
314	11288	P00748	F12	Coagulation factor XII
315	12440	Q60857	Htt 	Sodium-dependent serotonin transporter
316	100666	O95822	MLYCD	Malonyl-CoA decarboxylase, mitochondrial
317	19702	O08590	Aoc3	Membrane primary amine oxidase
318	104279	Q9Y572	RIP3	Receptor-interacting serine/threonine-protein kinase 3
319	11281	O00222	GPRC1H 	Metabotropic glutamate receptor 8
320	11280	P41594	GPRC1E 	Metabotropic glutamate receptor 5
321	11282	P09210	GST2	Glutathione S-transferase A2
322	11287	P03951	F11	Coagulation factor XI
323	10809	O95977	EDG6	Sphingosine 1-phosphate receptor 4
324	104492	P10599	TRDX 	Thioredoxin
325	100847	P39688	Fyn	Tyrosine-protein kinase Fyn
326	104491	A0QVH7	None	1-deoxy-D-xylulose 5-phosphate reductoisomerase
327	104499	P25106	CMKOR1 	Atypical chemokine receptor 3
328	245	P16444	MDP 	Dipeptidase 1
329	244	P16066	ANPRA	Atrial natriuretic peptide receptor 1
330	247	P24530	ETRB	Endothelin B receptor
331	246	P21731	TBXA2R	Thromboxane A2 receptor
332	241	P14060	3BH 	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
333	240	P13631	NR1B3	Retinoic acid receptor gamma
334	243	P15144	APN 	Aminopeptidase N
335	242	P15121	ALDR1	Aldose reductase
336	100956	Q5NUL3	GPR120 	Free fatty acid receptor 4
337	249	P25101	ETA 	Endothelin-1 receptor
338	248	P24557	CYP5 	Thromboxane-A synthase
339	100951	Q13470	TNK1	Non-receptor tyrosine-protein kinase TNK1
340	103452	O95382	ASK2 	Mitogen-activated protein kinase kinase kinase 6
341	11757	P04406	GAPD	Glyceraldehyde-3-phosphate dehydrogenase
342	11755	P06241	FYN	Tyrosine-protein kinase Fyn
343	104363	P51657	Edh17b1	Estradiol 17-beta-dehydrogenase 1
344	11753	P22083	ELFT 	Alpha-(1,3)-fucosyltransferase 4
345	11752	P35916	VEGFR3	Vascular endothelial growth factor receptor 3
346	11751	Q02790	FKBP52	Peptidyl-prolyl cis-trans isomerase FKBP4
347	101244	P15445	Acidic phospholipase A2 2	Acidic phospholipase A2 2
348	12004	Q8VBU5	None	Phosphodiesterase
349	12000	P08709	F7	Coagulation factor VII
350	11758	P43220	GLP1R	Glucagon-like peptide 1 receptor
351	100005	Q9MYX0	SLC6A4	Sodium-dependent serotonin transporter
352	11594	P31214	Srd5a2	3-oxo-5-alpha-steroid 4-dehydrogenase 2
353	100007	P08373	yijB	UDP-N-acetylenolpyruvoylglucosamine reductase
354	11596	Q9Y345	GLYT2 	Sodium- and chloride-dependent glycine transporter 2
355	100001	P19490	Glur1	Glutamate receptor 1
356	100000	Q00961	Grin2c	Glutamate receptor ionotropic, NMDA 2C
357	11593	P24008	Srd5a1	3-oxo-5-alpha-steroid 4-dehydrogenase 1
358	101532	P30536	BZRP 	Translocator protein
359	101021	P09581	Csfmr 	Macrophage colony-stimulating factor 1 receptor
360	101022	P09681	GIP	Gastric inhibitory polypeptide
361	10803	P15208	Insr	Insulin receptor
362	11599	P11708	MDH1	Malate dehydrogenase, cytoplasmic
363	11598	Q9XSW7	Phosphodiesterase	Phosphodiesterase
364	101534	P30897	blaP	Beta-lactamase
365	104015	Q9QUQ5	Trrp4	Short transient receptor potential channel 4
366	109495	A0SYQ0	PGES	Prostaglandin E synthase
367	105633	Q86Y97	SUV420H2	Histone-lysine N-methyltransferase KMT5C
368	105635	Q15047	KIAA0067 	Histone-lysine N-methyltransferase SETDB1
369	179	Q9Y271	CYSLT1	Cysteinyl leukotriene receptor 1
370	176	Q9H244	HORK3	P2Y purinoceptor 12
371	175	Q99808	ENT1	Equilibrative nucleoside transporter 1
372	174	Q92731	ESTRB 	Estrogen receptor beta
373	172	Q16881	GRIM12 	Thioredoxin reductase 1, cytoplasmic
374	170	Q14432	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase A
375	102435	P19621	MME	Neprilysin
376	102438	B4URF0	NA	Neuraminidase
377	102439	O60341	AOF2 	Lysine-specific histone demethylase 1A
378	105173	P46531	TAN1	Neurogenic locus notch homolog protein 1
379	10628	P31388	Htr6	5-hydroxytryptamine receptor 6
380	11622	Q13557	CAMKD	Calcium/calmodulin-dependent protein kinase type II subunit delta
381	101444	P62158	CALM 	Calmodulin
382	101445	P63000	TC25	Ras-related C3 botulinum toxin substrate 1
383	11627	P23141	CES2 	Liver carboxylesterase 1
384	10468	P0CO23	HIS3	Imidazoleglycerol-phosphate dehydratase
385	101440	P61088	BLU	Ubiquitin-conjugating enzyme E2 N
386	11624	P29466	IL1BC 	Caspase-1
387	12132	P18113	Erba2 	Thyroid hormone receptor beta
388	12133	P68403	Pkcb 	Protein kinase C beta type
389	10622	P97288	Htr4	5-hydroxytryptamine receptor 4
390	10623	Q62758	Htr4	5-hydroxytryptamine receptor 4
391	10624	P47898	HTR5A	5-hydroxytryptamine receptor 5A
392	104659	Q66HS9	None	Monocarboxylate transporter 2
393	10627	P50406	HTR6	5-hydroxytryptamine receptor 6
394	105525	Q38860	KCS18	3-ketoacyl-CoA synthase 18
395	10401	P00803	None	Signal peptidase I
396	10402	P25023	Bdkrb2	B2 bradykinin receptor
397	11978	O35433	Vr1 	Transient receptor potential cation channel subfamily V member 1
398	105521	Q9M629	Protoporphyrinogen IX oxidase	Protoporphyrinogen IX oxidase
399	105520	P54904	EMB2772	Pyrroline-5-carboxylate reductase
400	105523	P81072	AMPD1	AMP deaminase 1
401	10407	Q29463	Anionic trypsin	Anionic trypsin
402	20086	P20852	Cyp2a-5	Cytochrome P450 2A5
403	20085	P20813	CYP2B6	Cytochrome P450 2B6
404	104649	P70172	Ntcp2	Ileal sodium/bile acid cotransporter
405	11977	Q9WUD9	Src	Proto-oncogene tyrosine-protein kinase Src
406	11975	P24470	Cyp2c-23	Cytochrome P450 2C23
407	10394	Q9H2S1	KCNN2	Small conductance calcium-activated potassium channel protein 2
408	10396	Q13554	CAM2 	Calcium/calmodulin-dependent protein kinase type II subunit beta
409	10397	O43526	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2
410	10399	D2K2A8	NS4A	Non-structural protein 4A
411	100940	P06526	TDT	DNA nucleotidylexotransferase
412	102389	P0CS83	PRA11 	Candidapepsin-2
413	102386	P39045	dac	D-alanyl-D-alanine carboxypeptidase
414	100942	P06797	Ctsl1	Cathepsin L1
415	12226	A3EZI9	NS3	Genome polyprotein
416	12227	Q03181	NR1C2 	Peroxisome proliferator-activated receptor delta
417	105522	P49602	CYP51	Lanosterol 14-alpha demethylase
418	10717	P18846	ATF1	Cyclic AMP-dependent transcription factor ATF-1
419	102895	Q9Y006	hap	HAP protein
420	102896	P50250	Adenosylhomocysteinase	Adenosylhomocysteinase
421	102547	Q9FV53	DEF1	Peptide deformylase 1A, chloroplastic/mitochondrial
422	12229	P10938	PNMT	Phenylethanolamine N-methyltransferase
423	100947	Q12851	GCK 	Mitogen-activated protein kinase kinase kinase kinase 2
424	100948	Q12866	MER	Tyrosine-protein kinase Mer
425	10578	P28565	Htr1d	5-hydroxytryptamine receptor 1D
426	10579	P51679	CMKBR4	C-C chemokine receptor type 4
427	100949	Q13164	BMK1 	Mitogen-activated protein kinase 7
428	10574	P05622	Pdgfr 	Platelet-derived growth factor receptor beta
