CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL5105	10649	Muscarinic acetylcholine receptor M3	Q9ERZ3	SINGLE PROTEIN	Mus musculus	42	70
CHEMBL273	10576	Serotonin 1a (5-HT1a) receptor	P19327	SINGLE PROTEIN	Rattus norvegicus	5555	8175
CHEMBL4792	12968	Orexin receptor 2	O43614	SINGLE PROTEIN	Homo sapiens	1053	1510
CHEMBL4877	10143	Neuropeptide Y receptor type 4	P50391	SINGLE PROTEIN	Homo sapiens	137	231
CHEMBL5262	101132	Glucose-dependent insulinotropic receptor	Q7TQN8	SINGLE PROTEIN	Rattus norvegicus	62	120
CHEMBL5411	100859	Free fatty acid receptor 1	Q76JU9	SINGLE PROTEIN	Mus musculus	30	32
CHEMBL5413	100862	Metastin receptor	Q969F8	SINGLE PROTEIN	Homo sapiens	206	444
CHEMBL5450	10578	Serotonin 1d (5-HT1d) receptor	P28565	SINGLE PROTEIN	Rattus norvegicus	55	61
CHEMBL5471	101199	Beta-1 adrenergic receptor	B0FL73	SINGLE PROTEIN	Cavia porcellus	534	895
CHEMBL5492	100864	Nociceptin receptor	P47748	SINGLE PROTEIN	Cavia porcellus	36	64
CHEMBL1075061	102580	Muscarinic receptor 2	Q8VH27	SINGLE PROTEIN	Cavia porcellus	59	115
CHEMBL1075071	102578	Muscarinic receptor 4	Q8VH25	SINGLE PROTEIN	Cavia porcellus	17	17
CHEMBL1075101	103151	G-protein coupled receptor 81	Q9BXC0	SINGLE PROTEIN	Homo sapiens	53	54
CHEMBL5647	101266	Gonadotropin-releasing hormone receptor	Q8SPZ1	SINGLE PROTEIN	Macaca mulatta	7	9
CHEMBL5781	101329	5-hydroxytryptamine receptor 2A	O46635	SINGLE PROTEIN	Canis lupus familiaris	19	30
CHEMBL5951	102733	Neuropeptide FF receptor 1	Q9GZQ6	SINGLE PROTEIN	Homo sapiens	94	229
CHEMBL1075263	102807	C-C chemokine receptor type 5	P61814	SINGLE PROTEIN	Macaca fascicularis	18	19
CHEMBL5857	101361	Trace amine-associated receptor 1	Q96RJ0	SINGLE PROTEIN	Homo sapiens	602	1176
CHEMBL1293204	103651	C-C chemokine receptor type 2	O55193	SINGLE PROTEIN	Rattus norvegicus	6	7
CHEMBL1293206	103653	Neuropeptide Y-Y2 receptor	O70424	SINGLE PROTEIN	Rattus norvegicus	3	3
CHEMBL1770037	104129	fMet-Leu-Phe receptor	P33766	SINGLE PROTEIN	Mus musculus	4	4
CHEMBL1949486	104456	Prokineticin receptor 1	Q9JKL1	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2010631	104499	C-X-C chemokine receptor type 7	P25106	SINGLE PROTEIN	Homo sapiens	59	71
CHEMBL1169599	103469	Metastin receptor	Q924U1	SINGLE PROTEIN	Rattus norvegicus	46	52
CHEMBL1293316	103749	Relaxin receptor 1	Q9HBX9	SINGLE PROTEIN	Homo sapiens	4959	5711
CHEMBL2096662	104817	Serotonin 2 receptors; 5-HT2a & 5-HT2c	P28335, P28223	SELECTIVITY GROUP	Homo sapiens	282	312
CHEMBL1795146	104226	C-C chemokine receptor type 5	O08556	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL2111417	104925	Muscarinic acetylcholine receptor M1/M5 chimeric protein	P11229, P08912	CHIMERIC PROTEIN	Homo sapiens	4	31
CHEMBL2111427	104938	Somatostatin receptor	O08858, P30875, P49660, P30873, P30935	PROTEIN FAMILY	Mus musculus	23	24
CHEMBL2095218	104794	Adenosine receptors; A1 & A2a	P30543, P25099	SELECTIVITY GROUP	Rattus norvegicus	329	368
CHEMBL1795124	104204	Muscarinic acetylcholine receptor M1	P56489	SINGLE PROTEIN	Macaca mulatta	1	1
CHEMBL1926498	104393	Prostaglandin E2 receptor EP4 subtype	Q28691	SINGLE PROTEIN	Oryctolagus cuniculus	2	2
CHEMBL2095187	104771	Muscarinic acetylcholine receptors; M2 & M3	P08172, P20309	SELECTIVITY GROUP	Homo sapiens	449	484
CHEMBL2094117	104699	Adenosine A2 receptor	P29276, P30543	PROTEIN FAMILY	Rattus norvegicus	1193	1828
CHEMBL2094123	104705	Serotonin (5-HT) receptor	Q9JJ16, P30940, Q62758, P32305, P30994, P14842, P28565, P35364, P28564, P35563, P31388, P08909, P35365, P19327	PROTEIN FAMILY	Rattus norvegicus	192	353
CHEMBL2097171	104882	Serotonin 1a (5-HT1a) receptor/Adrenergic receptor alpha-1	P23944, P43140, P19327, P15823	SELECTIVITY GROUP	Rattus norvegicus	188	199
CHEMBL1914263	104359	Sphingosine 1-phosphate receptor 1	P48303	SINGLE PROTEIN	Rattus norvegicus	8	12
CHEMBL2096622	104815	Vasopressin receptor	P30560, Q00788, P48974	PROTEIN FAMILY	Rattus norvegicus	193	377
CHEMBL2384890	107593	G-protein coupled receptor	Q2A652	SINGLE PROTEIN	Canis familiaris	27	27
CHEMBL2150839	105190	Succinate receptor 1	Q6IYF9	SINGLE PROTEIN	Rattus norvegicus	6	6
CHEMBL3297639	108391	Probable G-protein coupled receptor 52	Q9Y2T5	SINGLE PROTEIN	Homo sapiens	17	34
CHEMBL2331074	105670	Adrenergic receptor	P07550, P18089, P35348, P08913, P18825, P35368, P25100, P13945, P08588	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2111476	105004	Alpha adrenergic receptor 1A and 1B	P15823, P43140	SELECTIVITY GROUP	Rattus norvegicus	129	134
CHEMBL2176792	105367	Trace amine-associated receptor 7b	Q5QD11	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL2176850	105425	Chemokine receptor	Q9MYJ9	SINGLE PROTEIN	Oryctolagus cuniculus	1	1
CHEMBL3259471	108312	G-protein coupled receptor 183	Q3U6B2	SINGLE PROTEIN	Mus musculus	22	44
CHEMBL2304408	105571	Serotonin 1b (5-HT1b) receptor	Q9N2B7	SINGLE PROTEIN	Gorilla gorilla	7	7
CHEMBL3102689	107989	G-protein coupled receptor 119	G7Q3P2	SINGLE PROTEIN	Macaca fascicularis	1	2
CHEMBL1804	117	Somatostatin receptor 2	P30874	SINGLE PROTEIN	Homo sapiens	864	1077
CHEMBL1810	260	Thyrotropin-releasing hormone receptor	P34981	SINGLE PROTEIN	Homo sapiens	265	309
CHEMBL1836	262	Prostanoid EP4 receptor	P35408	SINGLE PROTEIN	Homo sapiens	598	988
CHEMBL216	61	Muscarinic acetylcholine receptor M1	P11229	SINGLE PROTEIN	Homo sapiens	4098	6814
CHEMBL237	137	Kappa opioid receptor	P41145	SINGLE PROTEIN	Homo sapiens	5478	10097
CHEMBL1916	218	Alpha-2c adrenergic receptor	P18825	SINGLE PROTEIN	Homo sapiens	1586	3054
CHEMBL1917	12786	Somatostatin receptor 1	P30872	SINGLE PROTEIN	Homo sapiens	653	753
CHEMBL2183	10622	Serotonin 4 (5-HT4) receptor	P97288	SINGLE PROTEIN	Mus musculus	6	7
CHEMBL2238	11262	Somatostatin receptor 3	P30935	SINGLE PROTEIN	Mus musculus	22	53
CHEMBL2291	100817	G protein-coupled receptor 44	Q9Z2J6	SINGLE PROTEIN	Mus musculus	43	45
CHEMBL3037	10501	Cannabinoid CB1 receptor	P47746	SINGLE PROTEIN	Mus musculus	270	418
CHEMBL3799	19903	Neurokinin 3 receptor	P30098	SINGLE PROTEIN	Cavia porcellus	59	83
CHEMBL319	12514	Alpha-1a adrenergic receptor	P43140	SINGLE PROTEIN	Rattus norvegicus	893	1436
CHEMBL2806	11259	Endothelin receptor ET-A	P21450	SINGLE PROTEIN	Bos taurus	14	15
CHEMBL2854	11524	Cholecystokinin B receptor	P56481	SINGLE PROTEIN	Mus musculus	641	765
CHEMBL3710	10329	Prostanoid EP3 receptor	P43115	SINGLE PROTEIN	Homo sapiens	773	1168
CHEMBL3759	11290	Histamine H4 receptor	Q9H3N8	SINGLE PROTEIN	Homo sapiens	1604	2748
CHEMBL246	226	Beta-3 adrenergic receptor	P13945	SINGLE PROTEIN	Homo sapiens	2571	5134
CHEMBL4029	11574	Interleukin-8 receptor A	P25024	SINGLE PROTEIN	Homo sapiens	1149	2063
CHEMBL4030	12272	Beta-3 adrenergic receptor	P25962	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL4104	17105	Serotonin 1b (5-HT1b) receptor	P79399	SINGLE PROTEIN	Sus scrofa	1	1
CHEMBL3943	17074	Histamine H1 receptor	P31389	SINGLE PROTEIN	Cavia porcellus	1155	1971
CHEMBL3309	12017	Neuropeptide Y receptor type 2	Q9ERC0	SINGLE PROTEIN	Rattus norvegicus	62	62
CHEMBL266	10364	Alpha-2b adrenergic receptor	P19328	SINGLE PROTEIN	Rattus norvegicus	77	94
CHEMBL3374	12806	Angiotensin II type 1a (AT-1a) receptor	P25104	SINGLE PROTEIN	Bos taurus	352	440
CHEMBL3433	20126	Neurokinin 2 receptor	P79218	SINGLE PROTEIN	Oryctolagus cuniculus	192	215
CHEMBL3453	17115	Bradykinin B2 receptor	Q28642	SINGLE PROTEIN	Oryctolagus cuniculus	28	28
CHEMBL4127	10587	Platelet activating factor receptor	P46002	SINGLE PROTEIN	Rattus norvegicus	322	380
CHEMBL264	10280	Histamine H3 receptor	Q9Y5N1	SINGLE PROTEIN	Homo sapiens	3770	5918
CHEMBL4259	100288	Human herpesvirus 5 chemokine receptor	P69332	SINGLE PROTEIN	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	33	66
CHEMBL4297	18065	Serotonin 1d (5-HT1d) receptor	Q61224	SINGLE PROTEIN	Mus musculus	25	43
CHEMBL4308	11156	Bradykinin B1 receptor	P46663	SINGLE PROTEIN	Homo sapiens	930	1357
CHEMBL4595	100435	Lysophosphatidic acid receptor Edg-2	P61794	SINGLE PROTEIN	Rattus norvegicus	26	46
CHEMBL4608	11006	Melanocortin receptor 5	P33032	SINGLE PROTEIN	Homo sapiens	1644	3239
CHEMBL4398	11907	Purinergic receptor P2Y2	P41231	SINGLE PROTEIN	Homo sapiens	473	685
CHEMBL4419	100428	Purinergic receptor P2Y2	P41232	SINGLE PROTEIN	Rattus norvegicus	4	4
CHEMBL4440	12812	Neuromedin B receptor	P24053	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL4468	10360	Histamine H4 receptor	Q91ZY1	SINGLE PROTEIN	Rattus norvegicus	166	328
CHEMBL5201	100866	Free fatty acid receptor 3	O14843	SINGLE PROTEIN	Homo sapiens	60	61
CHEMBL4781	10439	Muscarinic acetylcholine receptor M2	P06199	SINGLE PROTEIN	Sus scrofa	177	427
CHEMBL4815	10686	Neurokinin 2 receptor	P05363	SINGLE PROTEIN	Bos taurus	10	10
CHEMBL4827	10233	Neuropeptide Y receptor type 4	Q63447	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL5006	101258	G-protein coupled receptor 12	P47775	SINGLE PROTEIN	Homo sapiens	5	5
CHEMBL5162	101097	Neuropeptide S receptor	Q6W5P4	SINGLE PROTEIN	Homo sapiens	15061	15772
CHEMBL5299	101145	Histamine receptor H3	Q865E1	SINGLE PROTEIN	Macaca mulatta	76	77
CHEMBL5548	101227	Prokineticin receptor 2	Q8NFJ6	SINGLE PROTEIN	Homo sapiens	3	8
CHEMBL1075315	103163	C-X-C chemokine receptor type 5	P32302	SINGLE PROTEIN	Homo sapiens	81	99
CHEMBL1075111	103037	Bombesin receptor subtype-3	Q8K418	SINGLE PROTEIN	Rattus norvegicus	39	78
CHEMBL5700	101505	Lysophosphatidic acid receptor 5	Q9H1C0	SINGLE PROTEIN	Homo sapiens	42	78
CHEMBL5799	101562	Mu-type opioid receptor	Q9MYW9	SINGLE PROTEIN	Macaca mulatta	1	2
CHEMBL5952	102734	Neuropeptide FF receptor 2	Q9Y5X5	SINGLE PROTEIN	Homo sapiens	94	221
CHEMBL1075232	102935	Orexin receptor 1	P56718	SINGLE PROTEIN	Rattus norvegicus	3	4
CHEMBL1075269	102815	Adenosine A3 receptor	Q61618	SINGLE PROTEIN	Mus musculus	45	67
CHEMBL1777664	104147	Probable G-protein coupled receptor 160	Q9UJ42	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL1628461	103780	Oxoeicosanoid receptor 1	Q8TDS5	SINGLE PROTEIN	Homo sapiens	47	81
CHEMBL1255160	103571	Histamine H4 receptor	Q91ZY3	SINGLE PROTEIN	Cavia porcellus	6	8
CHEMBL1671613	103900	Type-1 angiotensin II receptor	Q9WV26	SINGLE PROTEIN	Cavia porcellus	75	86
CHEMBL1628472	103791	Relaxin-3 receptor 1	Q9NSD7	SINGLE PROTEIN	Homo sapiens	15	19
CHEMBL1649052	103848	C-C motif chemokine 2	P13500	SINGLE PROTEIN	Homo sapiens	38	76
CHEMBL1275217	103584	C-C motif chemokine 5	P13501	SINGLE PROTEIN	Homo sapiens	34	38
CHEMBL2096676	104831	Adrenergic receptors; alpha-1 A & B	P35348, P35368	SELECTIVITY GROUP	Homo sapiens	209	290
CHEMBL1907609	104303	Muscarinic acetylcholine receptor	P08483, P08482, P08485, P10980, P08911	PROTEIN FAMILY	Rattus norvegicus	1455	3641
CHEMBL2111334	105033	Cholecystokinin receptor	O08786, P56481	PROTEIN FAMILY	Mus musculus	84	88
CHEMBL2111347	105046	Muscarinic receptor M2 and M3	P10980, P08483	SELECTIVITY GROUP	Rattus norvegicus	90	95
CHEMBL2111359	105113	Dopamine receptor	P51436, Q8BLD9, P61168, P30728, Q61616	PROTEIN FAMILY	Mus musculus	56	59
CHEMBL2111388	105082	Beta-2 adrenergic receptor and beta-3 adrenergic receptor	P07550, P13945	SELECTIVITY GROUP	Homo sapiens	153	172
CHEMBL2111403	105098	Adenosine receptor A2a and A3	P30543, P28647	SELECTIVITY GROUP	Rattus norvegicus	161	165
CHEMBL2111436	104951	Somatostatin receptor	P30874, P32745, P30872, P35346, P31391	PROTEIN FAMILY	Homo sapiens	32	43
CHEMBL2096970	104850	Dopamine receptor	P20288, Q95136	PROTEIN FAMILY	Bos taurus	94	254
CHEMBL1926495	104390	Trace amine-associated receptor 1	Q8HZ64	SINGLE PROTEIN	Macaca mulatta	20	20
CHEMBL2095169	104754	Dopamine receptors; D2 & D3	P14416, P35462	SELECTIVITY GROUP	Homo sapiens	531	635
CHEMBL2095154	104739	Melatonin receptor	P49285, P49288, P51050	PROTEIN FAMILY	Gallus gallus	356	567
CHEMBL2095156	104741	Opioid receptors; mu & kappa	P35372, P41145	SELECTIVITY GROUP	Homo sapiens	601	814
CHEMBL2094250	104722	Angiotensin II receptor (AT-1) type-1	P25095, P29089	PROTEIN FAMILY	Rattus norvegicus	1043	1480
CHEMBL2366519	106663	G-protein coupled receptor	Q9NG02	SINGLE PROTEIN	Apis mellifera	1	1
CHEMBL1938219	104430	Neuropeptides B/W receptor type 1	P49681	SINGLE PROTEIN	Mus musculus	41	82
CHEMBL2434819	107669	Orexin receptor type 1	P58307	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL3085618	107966	Probable G-protein coupled receptor 132	Q9UNW8	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL3301381	108395	Serotonin 1B/1D receptor	P28564, P28565	PROTEIN FAMILY	Rattus norvegicus	2	2
CHEMBL3038478	107904	Dopamine receptor D2L/neurotensin receptor NTS1	P14416, P30989	PROTEIN COMPLEX	Homo sapiens	1	1
CHEMBL3243907	108294	Oxytocin receptor	P97926	SINGLE PROTEIN	Mus musculus	2	3
CHEMBL2467	10041	Thyrotropin-releasing hormone receptor	P21761	SINGLE PROTEIN	Mus musculus	18	39
CHEMBL2490	10621	Serotonin 2a (5-HT2a) receptor	P50129	SINGLE PROTEIN	Sus scrofa	143	147
CHEMBL1790	112	Vasopressin V2 receptor	P30518	SINGLE PROTEIN	Homo sapiens	779	1219
CHEMBL1792	11265	Somatostatin receptor 5	P35346	SINGLE PROTEIN	Homo sapiens	786	919
CHEMBL1821	214	Muscarinic acetylcholine receptor M4	P08173	SINGLE PROTEIN	Homo sapiens	2093	3586
CHEMBL250	251	Platelet activating factor receptor	P25105	SINGLE PROTEIN	Homo sapiens	1426	2543
CHEMBL1875	168	Serotonin 4 (5-HT4) receptor	Q13639	SINGLE PROTEIN	Homo sapiens	633	1354
CHEMBL1889	134	Vasopressin V1a receptor	P37288	SINGLE PROTEIN	Homo sapiens	1883	3051
CHEMBL223	103	Alpha-1d adrenergic receptor	P25100	SINGLE PROTEIN	Homo sapiens	2174	3493
CHEMBL3138	11430	Dopamine D3 receptor	P19020	SINGLE PROTEIN	Rattus norvegicus	743	934
CHEMBL3156	12480	Thromboxane A2 receptor	P34978	SINGLE PROTEIN	Rattus norvegicus	185	199
CHEMBL2286	12863	Endothelin receptor ET-A	Q61614	SINGLE PROTEIN	Mus musculus	30	31
CHEMBL2350	12743	Alpha-2a adrenergic receptor	P18871	SINGLE PROTEIN	Sus scrofa	3	3
CHEMBL2373	12679	C5a anaphylatoxin chemotactic receptor	P21730	SINGLE PROTEIN	Homo sapiens	495	799
CHEMBL2405	11807	Alpha-2b adrenergic receptor	P30545	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL3066	10274	Gonadotropin-releasing hormone receptor	P30969	SINGLE PROTEIN	Rattus norvegicus	1173	1801
CHEMBL3197	10648	Muscarinic acetylcholine receptor M2	Q9ERZ4	SINGLE PROTEIN	Mus musculus	46	85
CHEMBL3278	11556	Ghrelin receptor	O08725	SINGLE PROTEIN	Rattus norvegicus	83	116
CHEMBL2592	12854	Adenosine A2b receptor	P29276	SINGLE PROTEIN	Rattus norvegicus	95	107
CHEMBL320	12566	Muscarinic acetylcholine receptor M3	P08483	SINGLE PROTEIN	Rattus norvegicus	373	500
CHEMBL2703	11344	Dopamine D2 receptor	Q9GJU1	SINGLE PROTEIN	Canis lupus familiaris	71	75
CHEMBL3733	11780	Muscarinic acetylcholine receptor M1	P12657	SINGLE PROTEIN	Mus musculus	59	122
CHEMBL3785	100579	Hydroxycarboxylic acid receptor 2	Q8TDS4	SINGLE PROTEIN	Homo sapiens	768	1461
CHEMBL4018	10477	Neuropeptide Y receptor type 2	P49146	SINGLE PROTEIN	Homo sapiens	1762	2821
CHEMBL4086	20104	Prostanoid EP4 receptor	P43114	SINGLE PROTEIN	Rattus norvegicus	117	168
CHEMBL4087	20109	Bradykinin B1 receptor	P48748	SINGLE PROTEIN	Oryctolagus cuniculus	47	56
CHEMBL3911	10542	Leukotriene B4 receptor 1	Q15722	SINGLE PROTEIN	Homo sapiens	568	1009
CHEMBL3322	100800	Prostanoid IP receptor	P43253	SINGLE PROTEIN	Rattus norvegicus	10	10
CHEMBL3361	12173	Dopamine D4 receptor	P30729	SINGLE PROTEIN	Rattus norvegicus	143	210
CHEMBL3372	10628	Serotonin 6 (5-HT6) receptor	P31388	SINGLE PROTEIN	Rattus norvegicus	35	42
CHEMBL3543	100826	Pyrimidinergic receptor P2Y6	Q63371	SINGLE PROTEIN	Rattus norvegicus	34	83
CHEMBL3596	11169	Gastrin releasing peptide receptor	P21729	SINGLE PROTEIN	Mus musculus	56	132
CHEMBL4315	10544	Purinergic receptor P2Y1	P47900	SINGLE PROTEIN	Homo sapiens	500	828
CHEMBL4123	12910	Neurotensin receptor 1	P30989	SINGLE PROTEIN	Homo sapiens	452	656
CHEMBL4242	11236	Somatostatin receptor 1	P30873	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL4554	10981	Neurokinin 2 receptor	P16610	SINGLE PROTEIN	Rattus norvegicus	302	373
CHEMBL4594	100434	C-C chemokine receptor type 7	P32248	SINGLE PROTEIN	Homo sapiens	13	15
CHEMBL4329	10008	Kappa opioid receptor	P33534	SINGLE PROTEIN	Mus musculus	408	557
CHEMBL4351	18063	Beta-1 adrenergic receptor	Q28998	SINGLE PROTEIN	Sus scrofa	30	30
CHEMBL4356	20021	Adrenomedullin receptor	O15218	SINGLE PROTEIN	Homo sapiens	25	25
CHEMBL4422	100431	Free fatty acid receptor 1	O14842	SINGLE PROTEIN	Homo sapiens	697	1494
CHEMBL4466	10355	Melatonin receptor 1B	P51050	SINGLE PROTEIN	Gallus gallus	15	19
CHEMBL5226	101124	Urotensin II receptor	Q533H1	SINGLE PROTEIN	Felis catus	10	10
CHEMBL4845	100139	Urotensin II receptor	Q8HYC3	SINGLE PROTEIN	Macaca mulatta	1	1
CHEMBL4892	10651	Alpha-1a adrenergic receptor	P18130	SINGLE PROTEIN	Bos taurus	248	293
CHEMBL4894	10190	Galanin receptor 1	P47211	SINGLE PROTEIN	Homo sapiens	98	198
CHEMBL5263	101133	Glucose-dependent insulinotropic receptor	Q7TQP3	SINGLE PROTEIN	Mus musculus	183	354
CHEMBL5264	101134	Somatostatin receptor	Q7TT86	SINGLE PROTEIN	Rattus norvegicus	3	3
CHEMBL5412	100860	C-C chemokine receptor type 2	P51683	SINGLE PROTEIN	Mus musculus	74	90
CHEMBL5499	100873	C-C chemokine receptor type 1	Q9JLY8	SINGLE PROTEIN	Rattus norvegicus	38	38
CHEMBL1075058	102576	Chemoattractant receptor-homologous molecule expressed on Th2 cells	Q56D28	SINGLE PROTEIN	Cavia porcellus	44	44
CHEMBL5739	101529	Rhodopsin	P02699	SINGLE PROTEIN	Bos taurus	22	25
CHEMBL5745	101535	C5a anaphylatoxin chemotactic receptor	P30992	SINGLE PROTEIN	Canis lupus familiaris	2	2
CHEMBL5968	101397	Lysophosphatidic acid receptor 4	Q99677	SINGLE PROTEIN	Homo sapiens	27	53
CHEMBL1075235	102938	G protein-coupled receptor 34	Q6XCE7	SINGLE PROTEIN	Rattus norvegicus	2	6
CHEMBL1163122	103451	Angiotensin type II receptor	Q2XUH7	SINGLE PROTEIN	Sus scrofa	27	28
CHEMBL5410	100858	C-C chemokine receptor type 4	P51680	SINGLE PROTEIN	Mus musculus	41	46
CHEMBL1628482	103801	Relaxin receptor 2	Q8WXD0	SINGLE PROTEIN	Homo sapiens	363	363
CHEMBL5852	101356	Pyroglutamylated RFamide peptide receptor	Q96P65	SINGLE PROTEIN	Homo sapiens	107	163
CHEMBL1075194	103139	C-X-C chemokine receptor type 3	Q5KSK8	SINGLE PROTEIN	Canis lupus familiaris	1	1
CHEMBL1075198	102882	C-X-C chemokine receptor type 2	P35344	SINGLE PROTEIN	Oryctolagus cuniculus	6	6
CHEMBL5892	101369	Endothelin B receptor-like protein 2	O60883	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL1075291	102842	G protein-coupled receptor 34	Q9R1K6	SINGLE PROTEIN	Mus musculus	2	8
CHEMBL1764942	104119	Substance-P receptor	Q5DUB1	SINGLE PROTEIN	Meriones unguiculatus	2	2
CHEMBL1628473	103792	Relaxin-3 receptor 2	Q8TDU9	SINGLE PROTEIN	Homo sapiens	9	20
CHEMBL2111329	105024	Adenosine receptor	P30542, P33765, P29274, P29275	PROTEIN FAMILY	Homo sapiens	19	21
CHEMBL2111341	105040	Dopamine D1 and D2 receptor	P14416, P21728	SELECTIVITY GROUP	Homo sapiens	180	197
