Index	HGNC	Symbol	UniProt	Chromosome
23	HGNC:43	TAP1	Q03518 transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	6p21.3
24	HGNC:44	TAP2	Q03519 transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	6p21.3
25	HGNC:45	ABCB4	P21439 ATP-binding cassette, sub-family B (MDR/TAP), member 4	7q21
26	HGNC:46	ABCB5	Q2M3G0 ATP-binding cassette, sub-family B (MDR/TAP), member 5	7p14
27	HGNC:47	ABCB6	Q9NP58 ATP-binding cassette, sub-family B (MDR/TAP), member 6	2q36
28	HGNC:48	ABCB7	O75027 ATP-binding cassette, sub-family B (MDR/TAP), member 7	Xq13.3
29	HGNC:49	ABCB8	Q9NUT2 ATP-binding cassette, sub-family B (MDR/TAP), member 8	7q36.1
30	HGNC:50	ABCB9	Q9NP78 ATP-binding cassette, sub-family B (MDR/TAP), member 9	12q24
31	HGNC:51	ABCC1	P33527 ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16p13.1
32	HGNC:52	ABCC10	Q5T3U5 ATP-binding cassette, sub-family C (CFTR/MRP), member 10	6p12.3
33	HGNC:53	ABCC2	Q92887 ATP-binding cassette, sub-family C (CFTR/MRP), member 2	10q24
34	HGNC:54	ABCC3	O15438 ATP-binding cassette, sub-family C (CFTR/MRP), member 3	17q21
35	HGNC:55	ABCC4	O15439 ATP-binding cassette, sub-family C (CFTR/MRP), member 4	13q31
36	HGNC:56	ABCC5	O15440 ATP-binding cassette, sub-family C (CFTR/MRP), member 5	3q27
37	HGNC:57	ABCC6	O95255 ATP-binding cassette, sub-family C (CFTR/MRP), member 6	16p13.11
38	HGNC:59	ABCC8	Q09428 ATP-binding cassette, sub-family C (CFTR/MRP), member 8	11p15.1
39	HGNC:60	ABCC9	O60706 ATP-binding cassette, sub-family C (CFTR/MRP), member 9	12p12.1
40	HGNC:61	ABCD1	P33897 ATP-binding cassette, sub-family D (ALD), member 1	Xq28
41	HGNC:66	ABCD2	Q9UBJ2 ATP-binding cassette, sub-family D (ALD), member 2	12q12
42	HGNC:67	ABCD3	P28288 ATP-binding cassette, sub-family D (ALD), member 3	1p21.3
43	HGNC:68	ABCD4	O14678 ATP-binding cassette, sub-family D (ALD), member 4	14q24
44	HGNC:69	ABCE1	P61221 ATP-binding cassette, sub-family E (OABP), member 1	4q31
45	HGNC:70	ABCF1	Q8NE71 ATP-binding cassette, sub-family F (GCN20), member 1	6p21.33
46	HGNC:71	ABCF2	Q9UG63 ATP-binding cassette, sub-family F (GCN20), member 2	7q36.1
47	HGNC:72	ABCF3	Q9NUQ8 ATP-binding cassette, sub-family F (GCN20), member 3	3q27.1
48	HGNC:73	ABCG1	P45844 ATP-binding cassette, sub-family G (WHITE), member 1	21q22.3
49	HGNC:74	ABCG2	Q9UNQ0 ATP-binding cassette, sub-family G (WHITE), member 2	4q22.1
50	HGNC:76	ABL1	P00519 c-abl oncogene 1, non-receptor tyrosine kinase	9q34.1
51	HGNC:77	ABL2	P42684 c-abl oncogene 2, non-receptor tyrosine kinase	1q25.2
52	HGNC:78	ABLIM1	O14639 actin binding LIM protein 1	10q25
53	HGNC:79	ABO	P16442 ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	9q34.2
54	HGNC:80	AOC1	P19801 amine oxidase, copper containing 1	7q36.1
55	HGNC:81	ABR	Q12979 active BCR-related	17p13
56	HGNC:82	ACAA1	P09110 acetyl-CoA acyltransferase 1	3p22.2
57	HGNC:83	ACAA2	P42765 acetyl-CoA acyltransferase 2	18q21
58	HGNC:84	ACACA	Q13085 acetyl-CoA carboxylase alpha	17q21
59	HGNC:85	ACACB	O00763 acetyl-CoA carboxylase beta	12q24.1
60	HGNC:87	ACAD8	Q9UKU7 acyl-CoA dehydrogenase family, member 8	11q25
61	HGNC:88	ACADL	P28330 acyl-CoA dehydrogenase, long chain	2q34
62	HGNC:89	ACADM	P11310 acyl-CoA dehydrogenase, C-4 to C-12 straight chain	1p31
63	HGNC:90	ACADS	P16219 acyl-CoA dehydrogenase, C-2 to C-3 short chain	12q24.31
64	HGNC:91	ACADSB	P45954 acyl-CoA dehydrogenase, short/branched chain	10q25-q26
65	HGNC:92	ACADVL	P49748 acyl-CoA dehydrogenase, very long chain	17p13.1
66	HGNC:93	ACAT1	P24752 acetyl-CoA acetyltransferase 1	11q22.3
67	HGNC:94	ACAT2	Q9BWD1 acetyl-CoA acetyltransferase 2	6q25.3-q26
68	HGNC:95	SLC33A1	O00400 solute carrier family 33 (acetyl-CoA transporter), member 1	3q25.31
69	HGNC:99	ASIC2	Q16515 acid-sensing (proton-gated) ion channel 2	17q11.2-q12
70	HGNC:100	ASIC1	P78348 acid-sensing (proton-gated) ion channel 1	12q12
71	HGNC:101	ASIC3	Q9UHC3 acid-sensing (proton-gated) ion channel 3	7q35
72	HGNC:102	CNNM1	Q9NRU3 cyclin M1	10q23-q24
73	HGNC:103	CNNM2	Q9H8M5 cyclin M2	10q23-q24
74	HGNC:104	CNNM3	Q8NE01 cyclin M3	2p12-p11.2
75	HGNC:105	CNNM4	Q6P4Q7 cyclin M4	2q11.2
76	HGNC:108	ACHE	P22303 acetylcholinesterase (Yt blood group)	7q22
77	HGNC:115	ACLY	P53396 ATP citrate lyase	17q21.2
78	HGNC:117	ACO1	P21399 aconitase 1, soluble	9p21.1
79	HGNC:118	ACO2	Q99798 aconitase 2, mitochondrial	22q13.2
80	HGNC:119	ACOX1	Q15067 acyl-CoA oxidase 1, palmitoyl	17q25.1
81	HGNC:120	ACOX2	Q99424 acyl-CoA oxidase 2, branched chain	3p14.3
82	HGNC:121	ACOX3	O15254 acyl-CoA oxidase 3, pristanoyl	4p15.3
83	HGNC:122	ACP1	P24666 acid phosphatase 1, soluble	2p25
84	HGNC:123	ACP2	P11117 acid phosphatase 2, lysosomal	11p11.2
85	HGNC:124	ACP5	P13686 acid phosphatase 5, tartrate resistant	19p13.2
86	HGNC:125	ACPP	P15309 acid phosphatase, prostate	3q22.1
87	HGNC:126	ACR	P10323 acrosin	22q13.33
88	HGNC:127	ACRV1	P26436 acrosomal vesicle protein 1	11q24.2
89	HGNC:129	ACTA1	P68133 actin, alpha 1, skeletal muscle	1q42.13
90	HGNC:130	ACTA2	P62736 actin, alpha 2, smooth muscle, aorta	10q23.31
91	HGNC:132	ACTB	P60709 actin, beta	7p22
92	HGNC:133	POTEH	Q6S545 POTE ankyrin domain family, member H	22q11.1
93	HGNC:143	ACTC1	P68032 actin, alpha, cardiac muscle 1	15q14
94	HGNC:144	ACTG1	P63261 actin, gamma 1	17q25
95	HGNC:145	ACTG2	P63267 actin, gamma 2, smooth muscle, enteric	2p13.1
96	HGNC:160	ACTL6B	O94805 actin-like 6B	7q22
97	HGNC:161	ACTL7A	Q9Y615 actin-like 7A	9q31
98	HGNC:162	ACTL7B	Q9Y614 actin-like 7B	9q31
99	HGNC:163	ACTN1	P12814 actinin, alpha 1	14q24.1
100	HGNC:164	ACTN2	P35609 actinin, alpha 2	1q42-q43
101	HGNC:165	ACTN3	Q08043 actinin, alpha 3 (gene/pseudogene)	11q13.2
102	HGNC:166	ACTN4	O43707 actinin, alpha 4	19q13
103	HGNC:167	ACTR1A	P61163 ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	10q24
104	HGNC:168	ACTR1B	P42025 ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	2q11.1-q11.2
105	HGNC:169	ACTR2	P61160 ARP2 actin-related protein 2 homolog (yeast)	2p14
106	HGNC:170	ACTR3	P61158 ARP3 actin-related protein 3 homolog (yeast)	2q14.1
107	HGNC:171	ACVR1	Q04771 activin A receptor, type I	2q23-q24
108	HGNC:172	ACVR1B	P36896 activin A receptor, type IB	12q13
109	HGNC:173	ACVR2A	P27037 activin A receptor, type IIA	2q22.2-q23.3
110	HGNC:174	ACVR2B	Q13705 activin A receptor, type IIB	3p22
111	HGNC:175	ACVRL1	P37023 activin A receptor type II-like 1	12q13.13
112	HGNC:177	ACY1	Q03154 aminoacylase 1	3p21.2
113	HGNC:179	ACYP1	P07311 acylphosphatase 1, erythrocyte (common) type	14q24.3
114	HGNC:180	ACYP2	P14621 acylphosphatase 2, muscle type	2p16.2
115	HGNC:186	ADA	P00813 adenosine deaminase	20q13.12
116	HGNC:188	ADAM10	O14672 ADAM metallopeptidase domain 10	15q2
117	HGNC:189	ADAM11	O75078 ADAM metallopeptidase domain 11	17q21.3
118	HGNC:190	ADAM12	O43184 ADAM metallopeptidase domain 12	10q26
119	HGNC:193	ADAM15	Q13444 ADAM metallopeptidase domain 15	1q21.3
120	HGNC:195	ADAM17	P78536 ADAM metallopeptidase domain 17	2p25
121	HGNC:196	ADAM18	Q9Y3Q7 ADAM metallopeptidase domain 18	8p11.22
122	HGNC:197	ADAM19	Q9H013 ADAM metallopeptidase domain 19	5q33.3
123	HGNC:198	ADAM2	Q99965 ADAM metallopeptidase domain 2	8p11.2
124	HGNC:199	ADAM20	O43506 ADAM metallopeptidase domain 20	14q24.2
125	HGNC:200	ADAM21	Q9UKJ8 ADAM metallopeptidase domain 21	14q24.1
126	HGNC:201	ADAM22	Q9P0K1 ADAM metallopeptidase domain 22	7q21
127	HGNC:202	ADAM23	O75077 ADAM metallopeptidase domain 23	2q33
128	HGNC:206	ADAM28	Q9UKQ2 ADAM metallopeptidase domain 28	8p21.2
129	HGNC:207	ADAM29	Q9UKF5 ADAM metallopeptidase domain 29	4q34.1
130	HGNC:208	ADAM30	Q9UKF2 ADAM metallopeptidase domain 30	1p12
131	HGNC:214	ADAM7	Q9H2U9 ADAM metallopeptidase domain 7	8p21.2
132	HGNC:215	ADAM8	P78325 ADAM metallopeptidase domain 8	10q26.3
133	HGNC:216	ADAM9	Q13443 ADAM metallopeptidase domain 9	8p11.23
134	HGNC:217	ADAMTS1	Q9UHI8 ADAM metallopeptidase with thrombospondin type 1 motif, 1	21q21.3
135	HGNC:218	ADAMTS2	O95450 ADAM metallopeptidase with thrombospondin type 1 motif, 2	5q23-q24
136	HGNC:219	ADAMTS3	O15072 ADAM metallopeptidase with thrombospondin type 1 motif, 3	4q21
137	HGNC:220	ADAMTS4	O75173 ADAM metallopeptidase with thrombospondin type 1 motif, 4	1q31-q32
138	HGNC:221	ADAMTS5	Q9UNA0 ADAM metallopeptidase with thrombospondin type 1 motif, 5	21q21.3
139	HGNC:222	ADAMTS6	Q9UKP5 ADAM metallopeptidase with thrombospondin type 1 motif, 6	5q13
140	HGNC:223	ADAMTS7	Q9UKP4 ADAM metallopeptidase with thrombospondin type 1 motif, 7	15q25.1
141	HGNC:224	ADAMTS8	Q9UP79 ADAM metallopeptidase with thrombospondin type 1 motif, 8	11q25
142	HGNC:225	ADAR	P55265 adenosine deaminase, RNA-specific	1q21.3
143	HGNC:226	ADARB1	P78563 adenosine deaminase, RNA-specific, B1	21q22.3
144	HGNC:227	ADARB2	Q9NS39 adenosine deaminase, RNA-specific, B2 (non-functional)	10p15.3
145	HGNC:228	ADAT1	Q9BUB4 adenosine deaminase, tRNA-specific 1	16q23
146	HGNC:232	ADCY1	Q08828 adenylate cyclase 1 (brain)	7p13-p12
147	HGNC:233	ADCY2	Q08462 adenylate cyclase 2 (brain)	5p15.3
148	HGNC:234	ADCY3	O60266 adenylate cyclase 3	2p23.3
149	HGNC:235	ADCY4	Q8NFM4 adenylate cyclase 4	14q11.2
150	HGNC:236	ADCY5	O95622 adenylate cyclase 5	3q21.1
151	HGNC:237	ADCY6	O43306 adenylate cyclase 6	12q12-q13
152	HGNC:238	ADCY7	P51828 adenylate cyclase 7	16q12.1
153	HGNC:239	ADCY8	P40145 adenylate cyclase 8 (brain)	8q24
154	HGNC:240	ADCY9	O60503 adenylate cyclase 9	16p13.3
155	HGNC:241	ADCYAP1	P18509 adenylate cyclase activating polypeptide 1 (pituitary)	18p11
156	HGNC:242	ADCYAP1R1	P41586 adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	7p14.3
157	HGNC:243	ADD1	P35611 adducin 1 (alpha)	4p16.3
158	HGNC:244	ADD2	P35612 adducin 2 (beta)	2p13.3
159	HGNC:245	ADD3	Q9UEY8 adducin 3 (gamma)	10q25.2
160	HGNC:248	PLIN2	Q99541 perilipin 2	9p22.1
161	HGNC:249	ADH1A	P07327 alcohol dehydrogenase 1A (class I), alpha polypeptide	4q23
162	HGNC:250	ADH1B	P00325 alcohol dehydrogenase 1B (class I), beta polypeptide	4q23
163	HGNC:251	ADH1C	P00326 alcohol dehydrogenase 1C (class I), gamma polypeptide	4q23
164	HGNC:252	ADH4	P08319 alcohol dehydrogenase 4 (class II), pi polypeptide	4q22
165	HGNC:253	ADH5	P11766 alcohol dehydrogenase 5 (class III), chi polypeptide	4q23
166	HGNC:255	ADH6	P28332 alcohol dehydrogenase 6 (class V)	4q23
167	HGNC:256	ADH7	P40394 alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	4q23-q24
168	HGNC:257	ADK	P55263 adenosine kinase	10q22.2
169	HGNC:259	ADM	P35318 adrenomedullin	11p15.4
170	HGNC:262	ADORA1	P30542 adenosine A1 receptor	1q32.1
171	HGNC:263	ADORA2A	P29274 adenosine A2a receptor	22q11.23
172	HGNC:264	ADORA2B	P29275 adenosine A2b receptor	17p12
173	HGNC:268	ADORA3	P33765 adenosine A3 receptor	1p13.2
174	HGNC:269	ADPRH	P54922 ADP-ribosylarginine hydrolase	3q13.31-q13.33
175	HGNC:270	PARP1	P09874 poly (ADP-ribose) polymerase 1	1q41-q42
176	HGNC:271	PARP4	Q9UKK3 poly (ADP-ribose) polymerase family, member 4	13q11
177	HGNC:272	PARP2	Q9UGN5 poly (ADP-ribose) polymerase 2	14q11.2-q12
178	HGNC:273	PARP3	Q9Y6F1 poly (ADP-ribose) polymerase family, member 3	3p22.2-p21.1
179	HGNC:277	ADRA1A	P35348 adrenoceptor alpha 1A	8p21.2
180	HGNC:278	ADRA1B	P35368 adrenoceptor alpha 1B	5q33.3
181	HGNC:280	ADRA1D	P25100 adrenoceptor alpha 1D	20p13
182	HGNC:281	ADRA2A	P08913 adrenoceptor alpha 2A	10q25.2
183	HGNC:282	ADRA2B	P18089 adrenoceptor alpha 2B	2q11.1
184	HGNC:283	ADRA2C	P18825 adrenoceptor alpha 2C	4p16.3
185	HGNC:285	ADRB1	P08588 adrenoceptor beta 1	10q25.3
186	HGNC:286	ADRB2	P07550 adrenoceptor beta 2, surface	5q31-q32
187	HGNC:288	ADRB3	P13945 adrenoceptor beta 3	8p12
188	HGNC:289	ADRBK1	P25098 adrenergic, beta, receptor kinase 1	11q13
189	HGNC:290	ADRBK2	P35626 adrenergic, beta, receptor kinase 2	22q11
190	HGNC:291	ADSL	P30566 adenylosuccinate lyase	22q13.1
191	HGNC:292	ADSS	P30520 adenylosuccinate synthase	1q44
192	HGNC:303	AEBP1	Q8IUX7 AE binding protein 1	7p
193	HGNC:304	CRISP1	P54107 cysteine-rich secretory protein 1	6p21.2-p21.1
194	HGNC:307	AES	Q08117 amino-terminal enhancer of split	19p13.3
195	HGNC:315	AFG3L2	Q9Y4W6 AFG3-like AAA ATPase 2	18p11.21
196	HGNC:316	AFM	P43652 afamin	4q13.3
197	HGNC:317	AFP	P02771 alpha-fetoprotein	4q13.3
198	HGNC:318	AGA	P20933 aspartylglucosaminidase	4q34.3
199	HGNC:319	ACAN	P16112 aggrecan	15q26.1
200	HGNC:320	AGER	Q15109 advanced glycosylation end product-specific receptor	6p21.3
201	HGNC:321	AGL	P35573 amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1p21
202	HGNC:324	AGPAT1	Q99943 1-acylglycerol-3-phosphate O-acyltransferase 1	6p21.3
203	HGNC:325	AGPAT2	O15120 1-acylglycerol-3-phosphate O-acyltransferase 2	9q34.3
204	HGNC:326	AGPAT3	Q9NRZ7 1-acylglycerol-3-phosphate O-acyltransferase 3	21q22.3
205	HGNC:327	AGPS	O00116 alkylglycerone phosphate synthase	2q
206	HGNC:328	AGR2	O95994 anterior gradient 2	7p21.3
207	HGNC:329	AGRN	O00468 agrin	1p36.33
208	HGNC:330	AGRP	O00253 agouti related protein homolog (mouse)	16q22
209	HGNC:333	AGT	P01019 angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	1q42.2
210	HGNC:336	AGTR1	P30556 angiotensin II receptor, type 1	3q24
211	HGNC:338	AGTR2	P50052 angiotensin II receptor, type 2	Xq22-q23
212	HGNC:339	APLNR	P35414 apelin receptor	11q12.1
213	HGNC:341	AGXT	P21549 alanine-glyoxylate aminotransferase	2q37.3
214	HGNC:343	AHCY	P23526 adenosylhomocysteinase	20q11.22
215	HGNC:344	AHCYL1	O43865 adenosylhomocysteinase-like 1	1p13
216	HGNC:346	AHRR	A9YTQ3 aryl-hydrocarbon receptor repressor	5p15.33
217	HGNC:347	AHNAK	Q09666 AHNAK nucleoprotein	11q12-q13
218	HGNC:348	AHR	P35869 aryl hydrocarbon receptor	7p15
219	HGNC:349	AHSG	P02765 alpha-2-HS-glycoprotein	3q27.3
220	HGNC:352	AIF1	P55008 allograft inflammatory factor 1	6p21.3
221	HGNC:356	AIM1	Q9Y4K1 absent in melanoma 1	6q21
222	HGNC:357	AIM2	O14862 absent in melanoma 2	1q22
223	HGNC:358	AIP	O00170 aryl hydrocarbon receptor interacting protein	11q13.3
224	HGNC:359	AIPL1	Q9NZN9 aryl hydrocarbon receptor interacting protein-like 1	17p13.1
225	HGNC:360	AIRE	O43918 autoimmune regulator	21q22.3
226	HGNC:361	AK1	P00568 adenylate kinase 1	9q34.1
227	HGNC:362	AK2	P54819 adenylate kinase 2	1p35.1
228	HGNC:363	AK4	P27144 adenylate kinase 4	1p31.3
229	HGNC:365	AK5	Q9Y6K8 adenylate kinase 5	1p31
230	HGNC:367	AKAP1	Q92667 A kinase (PRKA) anchor protein 1	17q22
231	HGNC:368	AKAP10	O43572 A kinase (PRKA) anchor protein 10	17p11.1
232	HGNC:369	AKAP11	Q9UKA4 A kinase (PRKA) anchor protein 11	13q
233	HGNC:370	AKAP12	Q02952 A kinase (PRKA) anchor protein 12	6q24-q25
234	HGNC:371	AKAP13	Q12802 A kinase (PRKA) anchor protein 13	15q24-q25
235	HGNC:372	AKAP2	Q9Y2D5 A kinase (PRKA) anchor protein 2	9q31.3
236	HGNC:373	AKAP3	O75969 A kinase (PRKA) anchor protein 3	12p13.3
237	HGNC:374	AKAP4	Q5JQC9 A kinase (PRKA) anchor protein 4	Xp11.2
238	HGNC:375	AKAP5	P24588 A kinase (PRKA) anchor protein 5	14q23.3
239	HGNC:376	AKAP6	Q13023 A kinase (PRKA) anchor protein 6	14q12
240	HGNC:377	AKAP7	O43687 A kinase (PRKA) anchor protein 7	6q23.2
241	HGNC:378	AKAP8	O43823 A kinase (PRKA) anchor protein 8	19p13.12
242	HGNC:379	AKAP9	Q99996 A kinase (PRKA) anchor protein 9	7q21-q22
243	HGNC:380	AKR1A1	P14550 aldo-keto reductase family 1, member A1 (aldehyde reductase)	1p33-p32
244	HGNC:381	AKR1B1	P15121 aldo-keto reductase family 1, member B1 (aldose reductase)	7q35
245	HGNC:382	AKR1B10	O60218 aldo-keto reductase family 1, member B10 (aldose reductase)	7q33
246	HGNC:384	AKR1C1	Q04828 aldo-keto reductase family 1, member C1	10p15-p14
247	HGNC:385	AKR1C2	P52895 aldo-keto reductase family 1, member C2	10p15-p14
248	HGNC:386	AKR1C3	P42330 aldo-keto reductase family 1, member C3	10p15-p14
249	HGNC:387	AKR1C4	P17516 aldo-keto reductase family 1, member C4	10p15.1
250	HGNC:388	AKR1D1	P51857 aldo-keto reductase family 1, member D1	7q32-q33
251	HGNC:389	AKR7A2	O43488 aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	1p36.13
252	HGNC:390	AKR7A3	O95154 aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)	1p36.13
253	HGNC:391	AKT1	P31749 v-akt murine thymoma viral oncogene homolog 1	14q32.32-q32.33
254	HGNC:392	AKT2	P31751 v-akt murine thymoma viral oncogene homolog 2	19q13.1-q13.2
255	HGNC:393	AKT3	Q9Y243 v-akt murine thymoma viral oncogene homolog 3	1q44
256	HGNC:395	ALAD	P13716 aminolevulinate dehydratase	9q32
257	HGNC:396	ALAS1	P13196 aminolevulinate, delta-, synthase 1	3p21
258	HGNC:397	ALAS2	P22557 aminolevulinate, delta-, synthase 2	Xp11.21
259	HGNC:399	ALB	P02768 albumin	4q13.3
260	HGNC:400	ALCAM	Q13740 activated leukocyte cell adhesion molecule	3q13.1
261	HGNC:402	ALDH1A1	P00352 aldehyde dehydrogenase 1 family, member A1	9q21.13
262	HGNC:403	ALDH3A2	P51648 aldehyde dehydrogenase 3 family, member A2	17p11.2
263	HGNC:404	ALDH2	P05091 aldehyde dehydrogenase 2 family (mitochondrial)	12q24.12
264	HGNC:405	ALDH3A1	P30838 aldehyde dehydrogenase 3 family, member A1	17p11.2
265	HGNC:406	ALDH4A1	P30038 aldehyde dehydrogenase 4 family, member A1	1p36
266	HGNC:407	ALDH1B1	P30837 aldehyde dehydrogenase 1 family, member B1	9p13
267	HGNC:408	ALDH5A1	P51649 aldehyde dehydrogenase 5 family, member A1	6p22
268	HGNC:409	ALDH1A3	P47895 aldehyde dehydrogenase 1 family, member A3	15q26
269	HGNC:410	ALDH3B1	P43353 aldehyde dehydrogenase 3 family, member B1	11q13
270	HGNC:411	ALDH3B2	P48448 aldehyde dehydrogenase 3 family, member B2	11q13
271	HGNC:412	ALDH9A1	P49189 aldehyde dehydrogenase 9 family, member A1	1q22-q23
272	HGNC:414	ALDOA	P04075 aldolase A, fructose-bisphosphate	16p11.2
273	HGNC:417	ALDOB	P05062 aldolase B, fructose-bisphosphate	9q21.3-q22.2
274	HGNC:418	ALDOC	P09972 aldolase C, fructose-bisphosphate	17q11.2
275	HGNC:427	ALK	Q9UM73 anaplastic lymphoma receptor tyrosine kinase	2p23
276	HGNC:428	ALMS1	Q8TCU4 Alstrom syndrome 1	2p13.1
277	HGNC:429	ALOX12	P18054 arachidonate 12-lipoxygenase	17p13.1
278	HGNC:430	ALOX12B	O75342 arachidonate 12-lipoxygenase, 12R type	17p13.1
279	HGNC:433	ALOX15	P16050 arachidonate 15-lipoxygenase	17p13.3
280	HGNC:434	ALOX15B	O15296 arachidonate 15-lipoxygenase, type B	17p13.1
281	HGNC:435	ALOX5	P09917 arachidonate 5-lipoxygenase	10q11.2
282	HGNC:436	ALOX5AP	P20292 arachidonate 5-lipoxygenase-activating protein	13q12
283	HGNC:437	ALPI	P09923 alkaline phosphatase, intestinal	2q37.1
284	HGNC:438	ALPL	P05186 alkaline phosphatase, liver/bone/kidney	1p36.12
285	HGNC:439	ALPP	P05187 alkaline phosphatase, placental	2q37.1
286	HGNC:441	ALPPL2	P10696 alkaline phosphatase, placental-like 2	2q37
287	HGNC:443	ALS2	Q96Q42 amyotrophic lateral sclerosis 2 (juvenile)	2q33-q35
288	HGNC:445	SETX	Q7Z333 senataxin	9q34
289	HGNC:447	ZBED1	O96006 zinc finger, BED-type containing 1	Xp22.33 and Yp11
290	HGNC:449	ALX3	O95076 ALX homeobox 3	1p13.3
291	HGNC:450	ALX4	Q9H161 ALX homeobox 4	11p11.2
292	HGNC:451	AMACR	Q9UHK6 alpha-methylacyl-CoA racemase	5p13.2
293	HGNC:452	AMBN	Q9NP70 ameloblastin (enamel matrix protein)	4q21
294	HGNC:453	AMBP	P02760 alpha-1-microglobulin/bikunin precursor	9q32-q33
295	HGNC:457	AMD1	P17707 adenosylmethionine decarboxylase 1	6q21
296	HGNC:461	AMELX	Q99217 amelogenin, X-linked	Xp22.31-p22.1
297	HGNC:462	AMELY	Q99218 amelogenin, Y-linked	Yp11.2
298	HGNC:463	AMFR	Q9UKV5 autocrine motility factor receptor, E3 ubiquitin protein ligase	16q21
299	HGNC:464	AMH	P03971 anti-Mullerian hormone	19p13.3
300	HGNC:465	AMHR2	Q16671 anti-Mullerian hormone receptor, type II	12q13
301	HGNC:467	AMMECR1	Q9Y4X0 Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	Xq22.3
302	HGNC:468	AMPD1	P23109 adenosine monophosphate deaminase 1	1p13
303	HGNC:469	AMPD2	Q01433 adenosine monophosphate deaminase 2	1p13.3
304	HGNC:470	AMPD3	Q01432 adenosine monophosphate deaminase 3	11p15
305	HGNC:471	AMPH	P49418 amphiphysin	7p14-p13
306	HGNC:473	AMT	P48728 aminomethyltransferase	3p21.2-p21.1
307	HGNC:474	AMY1A	P04745 amylase, alpha 1A (salivary)	1p21
308	HGNC:475	AMY1B	P04745 amylase, alpha 1B (salivary)	1p21
309	HGNC:476	AMY1C	P04745 amylase, alpha 1C (salivary)	1p21
310	HGNC:477	AMY2A	P04746 amylase, alpha 2A (pancreatic)	1p21.1
311	HGNC:478	AMY2B	P19961 amylase, alpha 2B (pancreatic)	1p21
312	HGNC:483	ANG	P03950 angiogenin, ribonuclease, RNase A family, 5	14q11.1-q11.2
313	HGNC:484	ANGPT1	Q15389 angiopoietin 1	8q23.1
314	HGNC:485	ANGPT2	O15123 angiopoietin 2	8p23
315	HGNC:487	ANGPT4	Q9Y264 angiopoietin 4	20p13
316	HGNC:489	ANGPTL1	O95841 angiopoietin-like 1	1q25.2
317	HGNC:490	ANGPTL2	Q9UKU9 angiopoietin-like 2	9q34
318	HGNC:491	ANGPTL3	Q9Y5C1 angiopoietin-like 3	1p31.3
319	HGNC:492	ANK1	P16157 ankyrin 1, erythrocytic	8p11.21
