Symbol	UniProt	UMLS_CUI	SE_name	Qval
32	DCK	P27707 deoxycytidine kinase	C0000737	Abdominal pain	6.4265e-09
33	PDE4C	Q08493 phosphodiesterase 4C, cAMP-specific	C0000737	Abdominal pain	6.4265e-09
34	BCHE	P06276 butyrylcholinesterase	C0000737	Abdominal pain	6.4265e-09
35	PDE11A	Q9HCR9 phosphodiesterase 11A	C0000737	Abdominal pain	6.4265e-09
36	ADRA1B	P35368 adrenoceptor alpha 1B	C0000737	Abdominal pain	6.4265e-09
37	CYP2C19	P33261 cytochrome P450, family 2, subfamily C, polypeptide 19	C0000737	Abdominal pain	6.4265e-09
38	PDE2A	O00408 phosphodiesterase 2A, cGMP-stimulated	C0000737	Abdominal pain	6.4265e-09
39	PGR	P06401 progesterone receptor	C0000737	Abdominal pain	6.4265e-09
40	FPR1	P21462 formyl peptide receptor 1	C0000737	Abdominal pain	6.4265e-09
41	PDE6A	P16499 phosphodiesterase 6A, cGMP-specific, rod, alpha	C0000737	Abdominal pain	6.4265e-09
42	CYP3A4	P08684 cytochrome P450, family 3, subfamily A, polypeptide 4	C0000737	Abdominal pain	6.4265e-09
43	PDE4A	P27815 phosphodiesterase 4A, cAMP-specific	C0000737	Abdominal pain	6.4265e-09
44	CYP46A1	Q9Y6A2 cytochrome P450, family 46, subfamily A, polypeptide 1	C0000737	Abdominal pain	6.4265e-09
45	PDE4B	Q07343 phosphodiesterase 4B, cAMP-specific	C0000737	Abdominal pain	6.4265e-09
46	MTNR1B	P49286 melatonin receptor 1B	C0000737	Abdominal pain	6.4265e-09
47	MTNR1A	P48039 melatonin receptor 1A	C0000737	Abdominal pain	6.4265e-09
48	MAOB	P27338 monoamine oxidase B	C0000737	Abdominal pain	6.4265e-09
49	ACE	P12821 angiotensin I converting enzyme	C0000737	Abdominal pain	6.4265e-09
50	CYSLTR1	Q9Y271 cysteinyl leukotriene receptor 1	C0000737	Abdominal pain	6.4265e-09
51	STK10	O94804 serine/threonine kinase 10	C0000737	Abdominal pain	6.4265e-09
52	ADRA1D	P25100 adrenoceptor alpha 1D	C0000737	Abdominal pain	6.4265e-09
53	FDPS	P14324 farnesyl diphosphate synthase	C0000737	Abdominal pain	6.4265e-09
54	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0000737	Abdominal pain	6.4265e-09
55	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0000737	Abdominal pain	6.4265e-09
56	ALB	P02768 albumin	C0000737	Abdominal pain	6.4265e-09
57	ABCB1	P08183 ATP-binding cassette, sub-family B (MDR/TAP), member 1	C0000737	Abdominal pain	6.4265e-09
58	HTR3A	P46098 5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	C0000737	Abdominal pain	6.4265e-09
59	SI	P14410 sucrase-isomaltase (alpha-glucosidase)	C0000737	Abdominal pain	6.4265e-09
60	OPRD1	P41143 opioid receptor, delta 1	C0000737	Abdominal pain	6.4265e-09
61	ADORA1	P30542 adenosine A1 receptor	C0000737	Abdominal pain	6.4265e-09
62	SLC15A2	Q16348 solute carrier family 15 (oligopeptide transporter), member 2	C0000737	Abdominal pain	6.4265e-09
63	NQO2	P16083 NAD(P)H dehydrogenase, quinone 2	C0000737	Abdominal pain	6.4265e-09
64	OPRK1	P41145 opioid receptor, kappa 1	C0000737	Abdominal pain	6.4265e-09
65	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0000737	Abdominal pain	6.4265e-09
66	CYP19A1	P11511 cytochrome P450, family 19, subfamily A, polypeptide 1	C0000737	Abdominal pain	6.4265e-09
67	GANC	Q8TET4 glucosidase, alpha; neutral C	C0000737	Abdominal pain	6.4265e-09
68	MGAM	O43451 maltase-glucoamylase (alpha-glucosidase)	C0000737	Abdominal pain	6.4265e-09
69	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0232492	Abdominal pain upper	6.4265e-09
70	DPP4	P27487 dipeptidyl-peptidase 4	C0232492	Abdominal pain upper	6.4265e-09
71	F10	P00742 coagulation factor X	C0232492	Abdominal pain upper	6.4265e-09
72	DHFR	P00374 dihydrofolate reductase	C0233514	Abnormal behaviour	6.4265e-09
73	NEU2	Q9Y3R4 sialidase 2 (cytosolic sialidase)	C0233514	Abnormal behaviour	6.4265e-09
74	HCRTR1	O43613 hypocretin (orexin) receptor 1	C0234458	Abnormal dreams	6.4265e-09
75	HTR3A	P46098 5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	C0234458	Abnormal dreams	6.4265e-09
76	MTNR1B	P49286 melatonin receptor 1B	C0234458	Abnormal dreams	6.4265e-09
77	HCRTR2	O43614 hypocretin (orexin) receptor 2	C0234458	Abnormal dreams	6.4265e-09
78	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0234458	Abnormal dreams	6.4265e-09
79	CA2	P00918 carbonic anhydrase II	C0497201	Abnormal sensation in eye	6.4265e-09
80	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0497201	Abnormal sensation in eye	6.4265e-09
81	ADRA1B	P35368 adrenoceptor alpha 1B	C0855246	Abnormal sleep-related event	6.4265e-09
82	ADRA2B	P18089 adrenoceptor alpha 2B	C0855246	Abnormal sleep-related event	6.4265e-09
83	ADRA2C	P18825 adrenoceptor alpha 2C	C0855246	Abnormal sleep-related event	6.4265e-09
84	ADRA2A	P08913 adrenoceptor alpha 2A	C0855246	Abnormal sleep-related event	6.4265e-09
85	HSD17B1	P14061 hydroxysteroid (17-beta) dehydrogenase 1	C2609183	Abnormal withdrawal bleeding	6.4265e-09
86	CYP2R1	Q6VVX0 cytochrome P450, family 2, subfamily R, polypeptide 1	C0000833	Abscess	6.4265e-09
87	NR3C1	P04150 nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	C0000833	Abscess	6.4265e-09
88	ADRA2B	P18089 adrenoceptor alpha 2B	C0152198	Accommodation disorder	6.4265e-09
89	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0152198	Accommodation disorder	6.4265e-09
90	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0152198	Accommodation disorder	6.4265e-09
91	ADRA1D	P25100 adrenoceptor alpha 1D	C0152198	Accommodation disorder	6.4265e-09
92	ADRA1A	P35348 adrenoceptor alpha 1A	C0152198	Accommodation disorder	6.4265e-09
93	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0152198	Accommodation disorder	6.4265e-09
94	ADRA1B	P35368 adrenoceptor alpha 1B	C0152198	Accommodation disorder	6.4265e-09
95	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0152198	Accommodation disorder	6.4265e-09
96	ADRA2A	P08913 adrenoceptor alpha 2A	C0152198	Accommodation disorder	6.4265e-09
97	ADRA2C	P18825 adrenoceptor alpha 2C	C0152198	Accommodation disorder	6.4265e-09
98	CYP2R1	Q6VVX0 cytochrome P450, family 2, subfamily R, polypeptide 1	C0001122	Acidosis	6.4265e-09
99	PDGFRA	P16234 platelet-derived growth factor receptor, alpha polypeptide	C0702166	Acne	6.4265e-09
100	PDGFRB	P09619 platelet-derived growth factor receptor, beta polypeptide	C0702166	Acne	6.4265e-09
101	KDR	P35968 kinase insert domain receptor (a type III receptor tyrosine kinase)	C0702166	Acne	6.4265e-09
102	DHODH	Q02127 dihydroorotate dehydrogenase (quinone)	C0702166	Acne	6.4265e-09
103	TEK	Q02763 TEK tyrosine kinase, endothelial	C0702166	Acne	6.4265e-09
104	RBP2	P50120 retinol binding protein 2, cellular	C0001175	Acquired immunodeficiency syndrome	6.4265e-09
105	DHODH	Q02127 dihydroorotate dehydrogenase (quinone)	C0001175	Acquired immunodeficiency syndrome	6.4265e-09
106	RBP4	P02753 retinol binding protein 4, plasma	C0001175	Acquired immunodeficiency syndrome	6.4265e-09
107	BRAF	P15056 v-raf murine sarcoma viral oncogene homolog B	C0022602	Actinic keratosis	6.4265e-09
108	CYP19A1	P11511 cytochrome P450, family 19, subfamily A, polypeptide 1	C0877055	Acute generalised exanthematous pustulosis	6.4265e-09
109	DPP4	P27487 dipeptidyl-peptidase 4	C0162557	Acute hepatic failure	6.4265e-09
110	CYP3A4	P08684 cytochrome P450, family 3, subfamily A, polypeptide 4	C0023467	Acute myeloid leukaemia	6.4265e-09
111	AVPR1B	P47901 arginine vasopressin receptor 1B	C0155626	Acute myocardial infarction	6.4265e-09
112	FDPS	P14324 farnesyl diphosphate synthase	C0001349	Acute phase reaction	6.4265e-09
113	SERPINA6	P08185 serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	C0001621	Adrenal disorder	6.4265e-09
114	PGR	P06401 progesterone receptor	C0001621	Adrenal disorder	6.4265e-09
115	NR3C2	P08235 nuclear receptor subfamily 3, group C, member 2	C0001621	Adrenal disorder	6.4265e-09
116	SERPINA6	P08185 serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	C0001623	Adrenal insufficiency	6.4265e-09
117	ESR2	Q92731 estrogen receptor 2 (ER beta)	C0001623	Adrenal insufficiency	6.4265e-09
118	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0001623	Adrenal insufficiency	6.4265e-09
119	ANGPT1	Q15389 angiopoietin 1	C0001623	Adrenal insufficiency	6.4265e-09
120	PGR	P06401 progesterone receptor	C0001623	Adrenal insufficiency	6.4265e-09
121	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0274714	Adrenergic syndrome	6.4265e-09
122	CYP19A1	P11511 cytochrome P450, family 19, subfamily A, polypeptide 1	C2364111	Ageusia	6.4265e-09
123	CA2	P00918 carbonic anhydrase II	C2364111	Ageusia	6.4265e-09
124	TPO	P07202 thyroid peroxidase	C2364111	Ageusia	6.4265e-09
125	MTNR1B	P49286 melatonin receptor 1B	C2364111	Ageusia	6.4265e-09
126	GABRG3	Q99928 gamma-aminobutyric acid (GABA) A receptor, gamma 3	C0001807	Aggression	6.4265e-09
127	GABRA4	P48169 gamma-aminobutyric acid (GABA) A receptor, alpha 4	C0001807	Aggression	6.4265e-09
128	ADRA1A	P35348 adrenoceptor alpha 1A	C0001807	Aggression	6.4265e-09
129	MTNR1B	P49286 melatonin receptor 1B	C0001807	Aggression	6.4265e-09
130	GABRE	P78334 gamma-aminobutyric acid (GABA) A receptor, epsilon	C0001807	Aggression	6.4265e-09
131	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0001807	Aggression	6.4265e-09
132	GABRB3	P28472 gamma-aminobutyric acid (GABA) A receptor, beta 3	C0001807	Aggression	6.4265e-09
133	GABRB2	P47870 gamma-aminobutyric acid (GABA) A receptor, beta 2	C0001807	Aggression	6.4265e-09
134	GABRQ	Q9UN88 gamma-aminobutyric acid (GABA) A receptor, theta	C0001807	Aggression	6.4265e-09
135	GABRA5	P31644 gamma-aminobutyric acid (GABA) A receptor, alpha 5	C0001807	Aggression	6.4265e-09
136	GABRB1	P18505 gamma-aminobutyric acid (GABA) A receptor, beta 1	C0001807	Aggression	6.4265e-09
137	GABRA2	P47869 gamma-aminobutyric acid (GABA) A receptor, alpha 2	C0001807	Aggression	6.4265e-09
138	GABRD	O14764 gamma-aminobutyric acid (GABA) A receptor, delta	C0001807	Aggression	6.4265e-09
139	ACHE	P22303 acetylcholinesterase (Yt blood group)	C0001807	Aggression	6.4265e-09
140	SCN10A	Q9Y5Y9 sodium channel, voltage-gated, type X, alpha subunit	C0001807	Aggression	6.4265e-09
141	GABRR2	P28476 gamma-aminobutyric acid (GABA) A receptor, rho 2	C0001807	Aggression	6.4265e-09
142	GABRA6	Q16445 gamma-aminobutyric acid (GABA) A receptor, alpha 6	C0001807	Aggression	6.4265e-09
143	GABRR3	A8MPY1 gamma-aminobutyric acid (GABA) A receptor, rho 3	C0001807	Aggression	6.4265e-09
144	GABRG2	P18507 gamma-aminobutyric acid (GABA) A receptor, gamma 2	C0001807	Aggression	6.4265e-09
145	GABRA1	P14867 gamma-aminobutyric acid (GABA) A receptor, alpha 1	C0001807	Aggression	6.4265e-09
146	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0001807	Aggression	6.4265e-09
147	GABRG1	Q8N1C3 gamma-aminobutyric acid (GABA) A receptor, gamma 1	C0001807	Aggression	6.4265e-09
148	GABRA3	P34903 gamma-aminobutyric acid (GABA) A receptor, alpha 3	C0001807	Aggression	6.4265e-09
149	GABRR2	P28476 gamma-aminobutyric acid (GABA) A receptor, rho 2	C0085631	Agitation	6.4265e-09
150	ADRB2	P07550 adrenoceptor beta 2, surface	C0085631	Agitation	6.4265e-09
151	OPRM1	P35372 opioid receptor, mu 1	C0085631	Agitation	6.4265e-09
152	HTR1A	P08908 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	C0085631	Agitation	6.4265e-09
153	OPRD1	P41143 opioid receptor, delta 1	C0085631	Agitation	6.4265e-09
154	SCNN1G	P51170 sodium channel, non-voltage-gated 1, gamma subunit	C0085631	Agitation	6.4265e-09
155	SCN1B	Q07699 sodium channel, voltage-gated, type I, beta subunit	C0085631	Agitation	6.4265e-09
156	CHRNA10	Q9GZZ6 cholinergic receptor, nicotinic, alpha 10 (neuronal)	C0085631	Agitation	6.4265e-09
157	SCNN1B	P51168 sodium channel, non-voltage-gated 1, beta subunit	C0085631	Agitation	6.4265e-09
158	SCN11A	Q9UI33 sodium channel, voltage-gated, type XI, alpha subunit	C0085631	Agitation	6.4265e-09
159	ADRA1A	P35348 adrenoceptor alpha 1A	C0085631	Agitation	6.4265e-09
160	HTR2A	P28223 5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	C0085631	Agitation	6.4265e-09
161	SLC18A2	Q05940 solute carrier family 18 (vesicular monoamine transporter), member 2	C0085631	Agitation	6.4265e-09
162	HTR2C	P28335 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	C0085631	Agitation	6.4265e-09
163	NEU2	Q9Y3R4 sialidase 2 (cytosolic sialidase)	C0085631	Agitation	6.4265e-09
164	SCN3B	Q9NY72 sodium channel, voltage-gated, type III, beta subunit	C0085631	Agitation	6.4265e-09
165	OPRK1	P41145 opioid receptor, kappa 1	C0085631	Agitation	6.4265e-09
166	SCNN1D	P51172 sodium channel, non-voltage-gated 1, delta subunit	C0085631	Agitation	6.4265e-09
167	SCNN1A	P37088 sodium channel, non-voltage-gated 1 alpha subunit	C0085631	Agitation	6.4265e-09
168	HTR1B	P28222 5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled	C0085631	Agitation	6.4265e-09
169	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0085631	Agitation	6.4265e-09
170	TSPO	B1AH88 translocator protein (18kDa)	C0085631	Agitation	6.4265e-09
171	GABRR3	A8MPY1 gamma-aminobutyric acid (GABA) A receptor, rho 3	C0085631	Agitation	6.4265e-09
172	ADRA1B	P35368 adrenoceptor alpha 1B	C0085631	Agitation	6.4265e-09
173	SCN9A	Q15858 sodium channel, voltage-gated, type IX, alpha subunit	C0085631	Agitation	6.4265e-09
174	SCN5A	Q14524 sodium channel, voltage-gated, type V, alpha subunit	C0085631	Agitation	6.4265e-09
175	SCN2B	O60939 sodium channel, voltage-gated, type II, beta subunit	C0085631	Agitation	6.4265e-09
176	HRH2	P25021 histamine receptor H2	C0085631	Agitation	6.4265e-09
177	GRIN3B	O60391 glutamate receptor, ionotropic, N-methyl-D-aspartate 3B	C0085631	Agitation	6.4265e-09
178	DRD2	P14416 dopamine receptor D2	C0085631	Agitation	6.4265e-09
179	SCN4B	Q8IWT1 sodium channel, voltage-gated, type IV, beta subunit	C0085631	Agitation	6.4265e-09
180	ADRA1D	P25100 adrenoceptor alpha 1D	C0085631	Agitation	6.4265e-09
181	CHRM1	P11229 cholinergic receptor, muscarinic 1	C0085631	Agitation	6.4265e-09
182	ACHE	P22303 acetylcholinesterase (Yt blood group)	C0085631	Agitation	6.4265e-09
183	ADRA2A	P08913 adrenoceptor alpha 2A	C0085631	Agitation	6.4265e-09
184	GABRG1	Q8N1C3 gamma-aminobutyric acid (GABA) A receptor, gamma 1	C0085631	Agitation	6.4265e-09
185	GABRR1	P24046 gamma-aminobutyric acid (GABA) A receptor, rho 1	C0085631	Agitation	6.4265e-09
186	DRD5	P21918 dopamine receptor D5	C0085631	Agitation	6.4265e-09
187	MAOA	P21397 monoamine oxidase A	C0085631	Agitation	6.4265e-09
188	HTR1D	P28221 5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled	C0085631	Agitation	6.4265e-09
189	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0085631	Agitation	6.4265e-09
190	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0085631	Agitation	6.4265e-09
191	GABRQ	Q9UN88 gamma-aminobutyric acid (GABA) A receptor, theta	C0085631	Agitation	6.4265e-09
192	SCN7A	Q01118 sodium channel, voltage-gated, type VII, alpha subunit	C0085631	Agitation	6.4265e-09
193	SCN4A	P35499 sodium channel, voltage-gated, type IV, alpha subunit	C0085631	Agitation	6.4265e-09
194	MAOB	P27338 monoamine oxidase B	C0085631	Agitation	6.4265e-09
195	HRH1	P35367 histamine receptor H1	C0085631	Agitation	6.4265e-09
196	ACE	P12821 angiotensin I converting enzyme	C0001824	Agranulocytosis	6.4265e-09
197	HTR1A	P08908 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	C0001824	Agranulocytosis	6.4265e-09
198	GABRP	O00591 gamma-aminobutyric acid (GABA) A receptor, pi	C0001824	Agranulocytosis	6.4265e-09
199	HTR2A	P28223 5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	C0001824	Agranulocytosis	6.4265e-09
200	GABRB1	P18505 gamma-aminobutyric acid (GABA) A receptor, beta 1	C0001824	Agranulocytosis	6.4265e-09
201	CHRM1	P11229 cholinergic receptor, muscarinic 1	C0001824	Agranulocytosis	6.4265e-09
202	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0001824	Agranulocytosis	6.4265e-09
203	GABRA4	P48169 gamma-aminobutyric acid (GABA) A receptor, alpha 4	C0001824	Agranulocytosis	6.4265e-09
204	CA13	Q8N1Q1 carbonic anhydrase XIII	C0001824	Agranulocytosis	6.4265e-09
205	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0001824	Agranulocytosis	6.4265e-09
206	GABRB3	P28472 gamma-aminobutyric acid (GABA) A receptor, beta 3	C0001824	Agranulocytosis	6.4265e-09
207	GABRA3	P34903 gamma-aminobutyric acid (GABA) A receptor, alpha 3	C0001824	Agranulocytosis	6.4265e-09
208	GABRB2	P47870 gamma-aminobutyric acid (GABA) A receptor, beta 2	C0001824	Agranulocytosis	6.4265e-09
209	HTR7	P34969 5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled	C0001824	Agranulocytosis	6.4265e-09
210	CYP2C9	P11712 cytochrome P450, family 2, subfamily C, polypeptide 9	C0001824	Agranulocytosis	6.4265e-09
211	CA7	P43166 carbonic anhydrase VII	C0001824	Agranulocytosis	6.4265e-09
212	GABRA5	P31644 gamma-aminobutyric acid (GABA) A receptor, alpha 5	C0001824	Agranulocytosis	6.4265e-09
213	CA12	O43570 carbonic anhydrase XII	C0001824	Agranulocytosis	6.4265e-09
214	CHRM3	P20309 cholinergic receptor, muscarinic 3	C0001824	Agranulocytosis	6.4265e-09
215	HRH2	P25021 histamine receptor H2	C0001824	Agranulocytosis	6.4265e-09
216	GABRQ	Q9UN88 gamma-aminobutyric acid (GABA) A receptor, theta	C0001824	Agranulocytosis	6.4265e-09
217	SLC15A2	Q16348 solute carrier family 15 (oligopeptide transporter), member 2	C0001824	Agranulocytosis	6.4265e-09
218	TSPO	B1AH88 translocator protein (18kDa)	C0001824	Agranulocytosis	6.4265e-09
219	GABRG2	P18507 gamma-aminobutyric acid (GABA) A receptor, gamma 2	C0001824	Agranulocytosis	6.4265e-09
220	GABRA1	P14867 gamma-aminobutyric acid (GABA) A receptor, alpha 1	C0001824	Agranulocytosis	6.4265e-09
221	HTR2C	P28335 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	C0001824	Agranulocytosis	6.4265e-09
222	GABRG3	Q99928 gamma-aminobutyric acid (GABA) A receptor, gamma 3	C0001824	Agranulocytosis	6.4265e-09
223	GABRA6	Q16445 gamma-aminobutyric acid (GABA) A receptor, alpha 6	C0001824	Agranulocytosis	6.4265e-09
224	CA14	Q9ULX7 carbonic anhydrase XIV	C0001824	Agranulocytosis	6.4265e-09
225	HTR6	P50406 5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	C0001824	Agranulocytosis	6.4265e-09
226	CA1	P00915 carbonic anhydrase I	C0001824	Agranulocytosis	6.4265e-09
227	DRD2	P14416 dopamine receptor D2	C0001824	Agranulocytosis	6.4265e-09
228	DRD4	P21917 dopamine receptor D4	C0001824	Agranulocytosis	6.4265e-09
229	KCNH2	Q12809 potassium voltage-gated channel, subfamily H (eag-related), member 2	C0001824	Agranulocytosis	6.4265e-09
230	CA4	P22748 carbonic anhydrase IV	C0001824	Agranulocytosis	6.4265e-09
231	DRD3	P35462 dopamine receptor D3	C0001824	Agranulocytosis	6.4265e-09
232	GABRD	O14764 gamma-aminobutyric acid (GABA) A receptor, delta	C0001824	Agranulocytosis	6.4265e-09
233	GABRG1	Q8N1C3 gamma-aminobutyric acid (GABA) A receptor, gamma 1	C0001824	Agranulocytosis	6.4265e-09
234	GABRA2	P47869 gamma-aminobutyric acid (GABA) A receptor, alpha 2	C0001824	Agranulocytosis	6.4265e-09
235	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0001824	Agranulocytosis	6.4265e-09
236	PTGS2	P35354 prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	C0001824	Agranulocytosis	6.4265e-09
237	ORM2	P19652 orosomucoid 2	C0001824	Agranulocytosis	6.4265e-09
238	ADRB1	P08588 adrenoceptor beta 1	C0001824	Agranulocytosis	6.4265e-09
239	CA3	P07451 carbonic anhydrase III, muscle specific	C0001824	Agranulocytosis	6.4265e-09
240	DRD5	P21918 dopamine receptor D5	C0001824	Agranulocytosis	6.4265e-09
241	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0001824	Agranulocytosis	6.4265e-09
242	ALB	P02768 albumin	C0001824	Agranulocytosis	6.4265e-09
243	CA2	P00918 carbonic anhydrase II	C0001824	Agranulocytosis	6.4265e-09
244	ABCC8	Q09428 ATP-binding cassette, sub-family C (CFTR/MRP), member 8	C0001824	Agranulocytosis	6.4265e-09
245	TPO	P07202 thyroid peroxidase	C0001824	Agranulocytosis	6.4265e-09
246	CHRM4	P08173 cholinergic receptor, muscarinic 4	C0392156	Akathisia	6.4265e-09
247	CHRM5	P08912 cholinergic receptor, muscarinic 5	C0392156	Akathisia	6.4265e-09
248	HTR2B	P41595 5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled	C0392156	Akathisia	6.4265e-09
249	CLIC6	Q96NY7 chloride intracellular channel 6	C0392156	Akathisia	6.4265e-09
250	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0392156	Akathisia	6.4265e-09
251	HTR1A	P08908 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	C0392156	Akathisia	6.4265e-09
252	HTR3A	P46098 5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	C0392156	Akathisia	6.4265e-09
253	HTR1D	P28221 5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled	C0392156	Akathisia	6.4265e-09
254	NCS1	P62166 neuronal calcium sensor 1	C0392156	Akathisia	6.4265e-09
255	ADRA1A	P35348 adrenoceptor alpha 1A	C0392156	Akathisia	6.4265e-09
256	CHRM1	P11229 cholinergic receptor, muscarinic 1	C0392156	Akathisia	6.4265e-09
257	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0392156	Akathisia	6.4265e-09
258	HTR2C	P28335 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	C0085623	Akinesia	6.4265e-09
259	DRD1	P21728 dopamine receptor D1	C0085623	Akinesia	6.4265e-09
260	DRD2	P14416 dopamine receptor D2	C0085623	Akinesia	6.4265e-09
