yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P15431	P15431	GBRB1_RAT	reviewed	Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1)	Gabrb1 Gabrb-1	Rattus norvegicus (Rat)	474
P63138	P63138	GBRB2_RAT	reviewed	Gamma-aminobutyric acid receptor subunit beta-2 (GABA(A) receptor subunit beta-2)	Gabrb2 Gabrb-2	Rattus norvegicus (Rat)	474
P63079	P63079	GBRB3_RAT	reviewed	Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3)	Gabrb3 Gabrb-3	Rattus norvegicus (Rat)	473
Q05941	Q05941	ACHA7_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Rattus norvegicus (Rat)	502
P18901	P18901	DRD1_RAT	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	Drd1 Drd1a	Rattus norvegicus (Rat)	446
P23977	P23977	SC6A3_RAT	reviewed	Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)	Slc6a3	Rattus norvegicus (Rat)	619
P02692	P02692	FABPL_RAT	reviewed	Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP) (Squalene- and sterol-carrier protein) (SCP) (Z-protein) (p14)	Fabp1	Rattus norvegicus (Rat)	127
Q63921	Q63921	PGH1_RAT	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	Ptgs1 Cox-1 Cox1	Rattus norvegicus (Rat)	602
Q05769	Q05769	PGH2_MOUSE	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (Glucocorticoid-regulated inflammatory cyclooxygenase) (Gripghs) (Macrophage activation-associated marker protein P71/73) (PES-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2) (TIS10 protein)	Ptgs2 Cox-2 Cox2 Pghs-b Tis10	Mus musculus (Mouse)	604
P12527	P12527	LOX5_RAT	reviewed	Arachidonate 5-lipoxygenase (5-LO) (5-lipoxygenase) (EC 1.13.11.34)	Alox5	Rattus norvegicus (Rat)	673
P35355	P35355	PGH2_RAT	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	Ptgs2 Cox-2 Cox2	Rattus norvegicus (Rat)	604
P20288	P20288	DRD2_BOVIN	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Bos taurus (Bovine)	444
P32352	P32352	ERG2_YEAST	reviewed	C-8 sterol isomerase (EC 5.-.-.-) (Delta-8--delta-7 sterol isomerase)	ERG2 YMR202W YM8325.03	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	222
P23979	P23979	5HT3A_MOUSE	reviewed	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	Htr3a 5ht3 Htr3	Mus musculus (Mouse)	487
Q9JHJ5	Q9JHJ5	5HT3B_MOUSE	reviewed	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	Htr3b	Mus musculus (Mouse)	437
P32305	P32305	5HT7R_RAT	reviewed	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (GPRFO) (Serotonin receptor 7)	Htr7	Rattus norvegicus (Rat)	448
P08911	P08911	ACM5_RAT	reviewed	Muscarinic acetylcholine receptor M5	Chrm5 Chrm-5	Rattus norvegicus (Rat)	531
P18130	P18130	ADA1A_BOVIN	reviewed	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor)	ADRA1A ADRA1C	Bos taurus (Bovine)	466
P15823	P15823	ADA1B_RAT	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	Adra1b	Rattus norvegicus (Rat)	515
P23944	P23944	ADA1D_RAT	reviewed	Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (RA42)	Adra1d Adra1a	Rattus norvegicus (Rat)	561
Q28838	Q28838	ADA2A_BOVIN	reviewed	Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR) (Alpha-2D adrenergic receptor)	ADRA2A	Bos taurus (Bovine)	452
O77700	O77700	ADA2B_BOVIN	reviewed	Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR) (Fragment)	ADRA2B	Bos taurus (Bovine)	392
P31389	P31389	HRH1_CAVPO	reviewed	Histamine H1 receptor (H1R) (HH1R)	HRH1	Cavia porcellus (Guinea pig)	488
P31390	P31390	HRH1_RAT	reviewed	Histamine H1 receptor (H1R) (HH1R)	Hrh1	Rattus norvegicus (Rat)	486
P47747	P47747	HRH2_CAVPO	reviewed	Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I)	HRH2	Cavia porcellus (Guinea pig)	359
P25102	P25102	HRH2_RAT	reviewed	Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I)	Hrh2	Rattus norvegicus (Rat)	358
Q9QYN8	Q9QYN8	HRH3_RAT	reviewed	Histamine H3 receptor (H3R) (HH3R)	Hrh3	Rattus norvegicus (Rat)	445
Q91ZY1	Q91ZY1	HRH4_RAT	reviewed	Histamine H4 receptor (H4R) (HH4R)	Hrh4	Rattus norvegicus (Rat)	391
Q8VHN2	Q8VHN2	NMD3B_RAT	reviewed	Glutamate receptor ionotropic, NMDA 3B (GluN3B) (N-methyl-D-aspartate receptor subtype 3B) (NMDAR3B) (NR3B)	Grin3b	Rattus norvegicus (Rat)	1002
Q00960	Q00960	NMDE2_RAT	reviewed	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)	Grin2b	Rattus norvegicus (Rat)	1482
Q00961	Q00961	NMDE3_RAT	reviewed	Glutamate receptor ionotropic, NMDA 2C (GluN2C) (Glutamate [NMDA] receptor subunit epsilon-3) (N-methyl D-aspartate receptor subtype 2C) (NMDAR2C) (NR2C)	Grin2c	Rattus norvegicus (Rat)	1237
Q62645	Q62645	NMDE4_RAT	reviewed	Glutamate receptor ionotropic, NMDA 2D (GluN2D) (Glutamate [NMDA] receptor subunit epsilon-4) (N-methyl D-aspartate receptor subtype 2D) (NMDAR2D) (NR2D)	Grin2d GluN2D	Rattus norvegicus (Rat)	1323
P32300	P32300	OPRD_MOUSE	reviewed	Delta-type opioid receptor (D-OR-1) (DOR-1) (K56) (MSL-2)	Oprd1	Mus musculus (Mouse)	372
P33534	P33534	OPRK_MOUSE	reviewed	Kappa-type opioid receptor (K-OR-1) (KOR-1) (MSL-1)	Oprk1	Mus musculus (Mouse)	380
P42866	P42866	OPRM_MOUSE	reviewed	Mu-type opioid receptor (M-OR-1) (MOR-1)	Oprm1 Mor Oprm	Mus musculus (Mouse)	398
P33533	P33533	OPRD_RAT	reviewed	Delta-type opioid receptor (D-OR-1) (DOR-1) (Opioid receptor A)	Oprd1 Ror-a	Rattus norvegicus (Rat)	372
P34975	P34975	OPRK_RAT	reviewed	Kappa-type opioid receptor (K-OR-1) (KOR-1)	Oprk1 Ror-d	Rattus norvegicus (Rat)	380
P33535	P33535	OPRM_RAT	reviewed	Mu-type opioid receptor (M-OR-1) (MOR-1) (Opioid receptor B)	Oprm1 Ror-b	Rattus norvegicus (Rat)	398
Q60492	Q60492	SGMR1_CAVPO	reviewed	Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R) (Sterol isomerase-like protein)	SIGMAR1 OPRS1	Cavia porcellus (Guinea pig)	223
Q9R0C9	Q9R0C9	SGMR1_RAT	reviewed	Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R)	Sigmar1 Oprs1	Rattus norvegicus (Rat)	223
P14842	P14842	5HT2A_RAT	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Rattus norvegicus (Rat)	471
Q07422	Q07422	DRTS_TOXGO	reviewed	Bifunctional dihydrofolate reductase-thymidylate synthase (DHFR-TS) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)]		Toxoplasma gondii	610
P22906	P22906	DYR_CANAX	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	DFR1	Candida albicans (Yeast)	192
P0ABQ4	P0ABQ4	DYR_ECOLI	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	folA tmrA b0048 JW0047	Escherichia coli (strain K12)	159
P00381	P00381	DYR_LACCA	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	folA dhfR	Lactobacillus casei	163
P16184	P16184	DYR_PNECA	reviewed	Dihydrofolate reductase (EC 1.5.1.3)		Pneumocystis carinii	206
Q920D2	Q920D2	DYR_RAT	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	Dhfr	Rattus norvegicus (Rat)	187
P07807	P07807	DYR_YEAST	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	DFR1 YOR236W O5231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	211
Q01827	Q01827	VMAT2_RAT	reviewed	Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2)	Slc18a2 Svat Vmat2	Rattus norvegicus (Rat)	515
P43140	P43140	ADA1A_RAT	reviewed	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor)	Adra1a Adra1c	Rattus norvegicus (Rat)	466
P30729	P30729	DRD4_RAT	reviewed	D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor)	Drd4	Rattus norvegicus (Rat)	387
P25115	P25115	DRD5_RAT	reviewed	D(1B) dopamine receptor (D(5) dopamine receptor) (Dopamine D5 receptor)	Drd5	Rattus norvegicus (Rat)	475
P35563	P35563	5HT3A_RAT	reviewed	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	Htr3a 5ht3 Htr3	Rattus norvegicus (Rat)	483
Q9JJ16	Q9JJ16	5HT3B_RAT	reviewed	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	Htr3b	Rattus norvegicus (Rat)	437
Q62758	Q62758	5HT4R_RAT	reviewed	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	Htr4	Rattus norvegicus (Rat)	406
O62698	O62698	PGH2_BOVIN	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Bos taurus (Bovine)	604
P19643	P19643	AOFB_RAT	reviewed	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	Maob	Rattus norvegicus (Rat)	520
P30543	P30543	AA2AR_RAT	reviewed	Adenosine receptor A2a	Adora2a	Rattus norvegicus (Rat)	410
P29276	P29276	AA2BR_RAT	reviewed	Adenosine receptor A2b	Adora2b	Rattus norvegicus (Rat)	332
P00766	P00766	CTRA_BOVIN	reviewed	Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]		Bos taurus (Bovine)	245
P15304	P15304	LIPS_RAT	reviewed	Hormone-sensitive lipase (HSL) (EC 3.1.1.79)	Lipe	Rattus norvegicus (Rat)	1068
P00346	P00346	MDHM_PIG	reviewed	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2	Sus scrofa (Pig)	338
Q99N23	Q99N23	CAH15_MOUSE	reviewed	Carbonic anhydrase 15 (EC 4.2.1.1) (Carbonate dehydratase XV) (Carbonic anhydrase XV) (CA-XV)	Ca15 Car15	Mus musculus (Mouse)	324
P00921	P00921	CAH2_BOVIN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)	CA2	Bos taurus (Bovine)	260
O24855	O24855	CYNT_HELPY	reviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	cynT HP_0004	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	221
P33302	P33302	PDR5_YEAST	reviewed	Pleiotropic ABC efflux transporter of multiple drugs (Pleiotropic drug resistance protein 5) (Suppressor of toxicity of sporidesmin)	PDR5 LEM1 STS1 YDR1 YOR153W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1511
P22909	P22909	ADA2A_RAT	reviewed	Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR) (Alpha-2D adrenergic receptor) (CA2-47)	Adra2a	Rattus norvegicus (Rat)	450
P19328	P19328	ADA2B_RAT	reviewed	Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	Adra2b	Rattus norvegicus (Rat)	453
P22086	P22086	ADA2C_RAT	reviewed	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	Adra2c	Rattus norvegicus (Rat)	458
P23204	P23204	PPARA_MOUSE	reviewed	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	Ppara Nr1c1 Ppar	Mus musculus (Mouse)	468
P13922	P13922	DRTS_PLAFK	reviewed	Bifunctional dihydrofolate reductase-thymidylate synthase (DHFR-TS) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)]		Plasmodium falciparum (isolate K1 / Thailand)	608
P23795	P23795	ACES_BOVIN	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Bos taurus (Bovine)	613
P31424	P31424	GRM5_RAT	reviewed	Metabotropic glutamate receptor 5 (mGluR5)	Grm5 Gprc1e Mglur5	Rattus norvegicus (Rat)	1203
P07607	P07607	TYSY_MOUSE	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Tyms	Mus musculus (Mouse)	307
P08219	P08219	GBRA1_BOVIN	reviewed	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	GABRA1	Bos taurus (Bovine)	456
P62813	P62813	GBRA1_RAT	reviewed	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gabra1 Gabra-1	Rattus norvegicus (Rat)	455
P10063	P10063	GBRA2_BOVIN	reviewed	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2)	GABRA2	Bos taurus (Bovine)	451
P10064	P10064	GBRA3_BOVIN	reviewed	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3)	GABRA3	Bos taurus (Bovine)	492
P20236	P20236	GBRA3_RAT	reviewed	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3)	Gabra3 Gabra-3	Rattus norvegicus (Rat)	493
P20237	P20237	GBRA4_BOVIN	reviewed	Gamma-aminobutyric acid receptor subunit alpha-4 (GABA(A) receptor subunit alpha-4)	GABRA4	Bos taurus (Bovine)	555
P28471	P28471	GBRA4_RAT	reviewed	Gamma-aminobutyric acid receptor subunit alpha-4 (GABA(A) receptor subunit alpha-4)	Gabra4	Rattus norvegicus (Rat)	552
P19969	P19969	GBRA5_RAT	reviewed	Gamma-aminobutyric acid receptor subunit alpha-5 (GABA(A) receptor subunit alpha-5)	Gabra5 Gabra-5	Rattus norvegicus (Rat)	464
P30191	P30191	GBRA6_RAT	reviewed	Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6)	Gabra6 Gabra-6	Rattus norvegicus (Rat)	453
P08220	P08220	GBRB1_BOVIN	reviewed	Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1)	GABRB1	Bos taurus (Bovine)	474
P22300	P22300	GBRG2_BOVIN	reviewed	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	GABRG2	Bos taurus (Bovine)	475
P18508	P18508	GBRG2_RAT	reviewed	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	Gabrg2	Rattus norvegicus (Rat)	466
Q9D6N1	Q9D6N1	CAH13_MOUSE	reviewed	Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII)	Ca13 Car13	Mus musculus (Mouse)	262
P04177	P04177	TY3H_RAT	reviewed	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)	Th	Rattus norvegicus (Rat)	498
P9WNX1	P9WNX1	DYR_MYCTU	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	folA dfrA Rv2763c MTV002.28c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	161
O55242	O55242	SGMR1_MOUSE	reviewed	Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R)	Sigmar1 Oprs1	Mus musculus (Mouse)	223
P29029	P29029	CHIT_YEAST	reviewed	Endochitinase (EC 3.2.1.14) (Soluble cell wall protein 2)	CTS1 SCW2 YLR286C L8003.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562
Q9JLB5	Q9JLB5	ACH10_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-10 (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10)	Chrna10	Rattus norvegicus (Rat)	447
P12389	P12389	ACHA2_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-2	Chrna2 Acra2	Rattus norvegicus (Rat)	511
P04757	P04757	ACHA3_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-3	Chrna3 Acra3	Rattus norvegicus (Rat)	499
P09483	P09483	ACHA4_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-4	Chrna4 Acra4	Rattus norvegicus (Rat)	630
P20420	P20420	ACHA5_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-5	Chrna5 Acra5	Rattus norvegicus (Rat)	452
P43143	P43143	ACHA6_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-6	Chrna6 Acra6	Rattus norvegicus (Rat)	493
P43144	P43144	ACHA9_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9)	Chrna9 Acra9	Rattus norvegicus (Rat)	479
P25108	P25108	ACHA_RAT	reviewed	Acetylcholine receptor subunit alpha	Chrna1 Acra	Rattus norvegicus (Rat)	457
P12390	P12390	ACHB2_RAT	reviewed	Neuronal acetylcholine receptor subunit beta-2 (Neuronal acetylcholine receptor non-alpha-1 chain) (N-alpha 1)	Chrnb2 Acrb2	Rattus norvegicus (Rat)	500
P12391	P12391	ACHB3_RAT	reviewed	Neuronal acetylcholine receptor subunit beta-3	Chrnb3 Acrb3	Rattus norvegicus (Rat)	464
P12392	P12392	ACHB4_RAT	reviewed	Neuronal acetylcholine receptor subunit beta-4 (Neuronal acetylcholine receptor non-alpha-2 chain) (N-alpha 2)	Chrnb4 Acrb4	Rattus norvegicus (Rat)	495
P25109	P25109	ACHB_RAT	reviewed	Acetylcholine receptor subunit beta	Chrnb1 Acrb	Rattus norvegicus (Rat)	501
P23589	P23589	CAH5A_MOUSE	reviewed	Carbonic anhydrase 5A, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VA) (CA Y) (Carbonic anhydrase VA) (CA-VA)	Ca5a Ca5 Car5 Car5a	Mus musculus (Mouse)	299
Q9QZA0	Q9QZA0	CAH5B_MOUSE	reviewed	Carbonic anhydrase 5B, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VB) (Carbonic anhydrase VB) (CA-VB)	Ca5b Car5b	Mus musculus (Mouse)	317
P40881	P40881	CAH_METTE	reviewed	Carbonic anhydrase (EC 4.2.1.1)		Methanosarcina thermophila	247
P53615	P53615	CAN_YEAST	reviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase) (Non-classical export protein 3)	NCE103 NCE3 YNL036W N2695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221
P16257	P16257	TSPO_RAT	reviewed	Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)	Tspo Bzrp Mbr	Rattus norvegicus (Rat)	169
P00760	P00760	TRY1_BOVIN	reviewed	Cationic trypsin (EC 3.4.21.4) (Beta-trypsin) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]		Bos taurus (Bovine)	246
P41144	P41144	OPRK_CAVPO	reviewed	Kappa-type opioid receptor (K-OR-1) (KOR-1)	OPRK1	Cavia porcellus (Guinea pig)	380
P97266	P97266	OPRM_CAVPO	reviewed	Mu-type opioid receptor (M-OR-1) (MOR-1) (Fragment)	OPRM1	Cavia porcellus (Guinea pig)	98
P37136	P37136	ACES_RAT	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Rattus norvegicus (Rat)	614
Q9EP66	Q9EP66	HCAR2_MOUSE	reviewed	Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109) (G-protein coupled receptor 109A) (G-protein coupled receptor HM74) (Niacin receptor 1) (Nicotinic acid receptor) (Protein PUMA-G)	Hcar2 Gpr109 Gpr109a Gpr109b Niacr1 Pumag	Mus musculus (Mouse)	360
Q80Z39	Q80Z39	HCAR2_RAT	reviewed	Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109) (G-protein coupled receptor 109A) (G-protein coupled receptor HM74) (Niacin receptor 1) (Nicotinic acid receptor) (Protein PUMA-G)	Hcar2 Gpr109 Gpr109a Gpr109b Niacr1 Pumag	Rattus norvegicus (Rat)	360
P37230	P37230	PPARA_RAT	reviewed	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	Ppara Nr1c1 Ppar	Rattus norvegicus (Rat)	468
Q8VC69	Q8VC69	S22A6_MOUSE	reviewed	Solute carrier family 22 member 6 (Kidney-specific transport protein) (Novel kidney transcript) (mNKT) (Organic anion transporter 1) (Renal organic anion transporter 1) (mROAT1)	Slc22a6 Nkt Oat1	Mus musculus (Mouse)	545
Q80UJ1	Q80UJ1	S22AK_MOUSE	reviewed	Solute carrier family 22 member 20 (Organic anion transporter 6)	Slc22a20 Gm963 Oat6	Mus musculus (Mouse)	556
P50578	P50578	AK1A1_PIG	reviewed	Alcohol dehydrogenase [NADP(+)] (EC 1.1.1.2) (Aldehyde reductase) (Aldo-keto reductase family 1 member A1)	AKR1A1 ALR ALR1	Sus scrofa (Pig)	325
P51635	P51635	AK1A1_RAT	reviewed	Alcohol dehydrogenase [NADP(+)] (EC 1.1.1.2) (3-DG-reducing enzyme) (Aldehyde reductase) (Aldo-keto reductase family 1 member A1)	Akr1a1 Alr	Rattus norvegicus (Rat)	325
P16116	P16116	ALDR_BOVIN	reviewed	Aldose reductase (AR) (EC 1.1.1.21) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Aldehyde reductase)	AKR1B1	Bos taurus (Bovine)	315
P80276	P80276	ALDR_PIG	reviewed	Aldose reductase (AR) (EC 1.1.1.21) (Aldehyde reductase)	AKR1B1 ALR2	Sus scrofa (Pig)	316
P07943	P07943	ALDR_RAT	reviewed	Aldose reductase (AR) (EC 1.1.1.21) (Aldehyde reductase)	Akr1b1 Akr1b4 Aldr1	Rattus norvegicus (Rat)	316
P26684	P26684	EDNRA_RAT	reviewed	Endothelin-1 receptor (Endothelin A receptor) (ET-A) (ET-AR)	Ednra	Rattus norvegicus (Rat)	426
