P49758	HGNC:10002	RGS6	ENSG00000182732	regulator of G-protein signaling 6	Regulators of G-protein signaling
P10523	HGNC:10521	SAG	ENSG00000130561	S-antigen visual arrestin	Classical arrestins
Q9BXA9	HGNC:10527	SALL3	ENSG00000256463	spalt like transcription factor 3	Zinc fingers C2H2-type
P54253	HGNC:10548	ATXN1	ENSG00000124788	ataxin 1	Ataxins
Q99700	HGNC:10555	ATXN2	ENSG00000204842	ataxin 2	Ataxins
O14828	HGNC:10565	SCAMP3	ENSG00000116521	secretory carrier membrane protein 3	Secretory carrier membrane proteins
P51451	HGNC:1057	BLK	ENSG00000136573	BLK proto-oncogene, Src family tyrosine kinase	SH2 domain containing
Q93045	HGNC:10577	STMN2	ENSG00000104435	stathmin 2	Stathmins
Q9Y5Y9	HGNC:10582	SCN10A	ENSG00000185313	sodium voltage-gated channel alpha subunit 10	Sodium voltage-gated channel alpha subunits
Q9UI33	HGNC:10583	SCN11A	ENSG00000168356	sodium voltage-gated channel alpha subunit 11	Sodium voltage-gated channel alpha subunits
P35498	HGNC:10585	SCN1A	ENSG00000144285	sodium voltage-gated channel alpha subunit 1	Sodium voltage-gated channel alpha subunits
Q01118	HGNC:10594	SCN7A	ENSG00000136546	sodium voltage-gated channel alpha subunit 7	None
P37088	HGNC:10599	SCNN1A	ENSG00000111319	sodium channel epithelial 1 alpha subunit	Sodium channels epithelial
P32302	HGNC:1060	CXCR5	ENSG00000160683	C-X-C motif chemokine receptor 5	CD molecules
O75880	HGNC:10603	SCO1	ENSG00000133028	SCO1 cytochrome c oxidase assembly protein	Mitochondrial respiratory chain complex assembly factors
O43819	HGNC:10604	SCO2	ENSG00000130489	SCO2 cytochrome c oxidase assembly protein	Mitochondrial respiratory chain complex assembly factors
P22362	HGNC:10609	CCL1	ENSG00000108702	C-C motif chemokine ligand 1	Chemokine ligands
P51671	HGNC:10610	CCL11	ENSG00000172156	C-C motif chemokine ligand 11	Chemokine ligands
Q99616	HGNC:10611	CCL13	ENSG00000181374	C-C motif chemokine ligand 13	Chemokine ligands
P13500	HGNC:10618	CCL2	ENSG00000108691	C-C motif chemokine ligand 2	Chemokine ligands
O00585	HGNC:10620	CCL21	ENSG00000137077	C-C motif chemokine ligand 21	Chemokine ligands
P80098	HGNC:10634	CCL7	ENSG00000108688	C-C motif chemokine ligand 7	Chemokine ligands
P80075	HGNC:10635	CCL8	ENSG00000108700	C-C motif chemokine ligand 8	Chemokine ligands
P31431	HGNC:10661	SDC4	ENSG00000124145	syndecan 4	Syndecans
Q96C92	HGNC:10667	SDCCAG3	ENSG00000165689	serologically defined colon cancer antigen 3	None
Q86SQ7	HGNC:10671	SDCCAG8	ENSG00000054282	serologically defined colon cancer antigen 8	Bardet-Biedl syndrome associated
P48061	HGNC:10672	CXCL12	ENSG00000107562	C-X-C motif chemokine ligand 12	Chemokine ligands
P12643	HGNC:1069	BMP2	ENSG00000125845	bone morphogenetic protein 2	Bone morphogenetic proteins
O00471	HGNC:10696	EXOC5	ENSG00000070367	exocyst complex component 5	Exocyst complex
P12645	HGNC:1070	BMP3	ENSG00000152785	bone morphogenetic protein 3	Bone morphogenetic proteins
P12644	HGNC:1071	BMP4	ENSG00000125378	bone morphogenetic protein 4	Bone morphogenetic proteins
P14151	HGNC:10720	SELL	ENSG00000188404	selectin L	CD molecules
O95754	HGNC:10734	SEMA4F	ENSG00000135622	ssemaphorin 4F	Semaphorins
Q9P283	HGNC:10737	SEMA5B	ENSG00000082684	semaphorin 5B	Semaphorins
Q9H2E6	HGNC:10738	SEMA6A	ENSG00000092421	semaphorin 6A	Semaphorins
Q15047	HGNC:10761	SETDB1	ENSG00000143379	SET domain bifurcated 1	Lysine methyltransferases
Q9BYH1	HGNC:10763	SEZ6L	ENSG00000100095	seizure related 6 homolog like	Sushi domain containing
Q13435	HGNC:10769	SF3B2	ENSG00000087365	splicing factor 3b subunit 2	None
P23246	HGNC:10774	SFPQ	ENSG00000116560	splicing factor proline and glutamine rich	Protein phosphatase 1 regulatory subunits
P22303	HGNC:108	ACHE	ENSG00000087085	acetylcholinesterase (Cartwright blood group)	Blood group antigens
Q92629	HGNC:10807	SGCD	ENSG00000170624	sarcoglycan delta	None
Q13326	HGNC:10809	SGCG	ENSG00000102683	sarcoglycan gamma	None
Q99962	HGNC:10831	SH3GL2	ENSG00000107295	SH3 domain containing GRB2 like 2, endophilin A1	N-BAR domain containing
P29353	HGNC:10840	SHC1	ENSG00000160691	SHC adaptor protein 1	SH2 domain containing
P15907	HGNC:10860	ST6GAL1	ENSG00000073849	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	Sialyltransferases
Q11206	HGNC:10864	ST3GAL4	ENSG00000110080	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	Sialyltransferases
Q9UMX3	HGNC:1087	BOK	ENSG00000176720	BOK, BCL2 family apoptosis regulator	BCL2 family
P40967	HGNC:10880	PMEL	ENSG00000185664	premelanosome protein	None
Q15475	HGNC:10887	SIX1	ENSG00000126778	SIX homeobox 1	SINE class homeoboxes
O95475	HGNC:10892	SIX6	ENSG00000184302	SIX homeobox 6	SINE class homeoboxes
P12757	HGNC:10897	SKIL	ENSG00000136603	SKI-like proto-oncogene	SKI transcriptional corepressors
Q15477	HGNC:10898	SKIV2L	ENSG00000204351	Ski2 like RNA helicase	RNA helicases
Q13239	HGNC:10902	SLA	ENSG00000155926	Src-like-adaptor	SH2 domain containing
Q14493	HGNC:10904	SLBP	ENSG00000163950	stem-loop binding protein	None
Q12908	HGNC:10906	SLC10A2	ENSG00000125255	solute carrier family 10 member 2	Solute carriers
P49279	HGNC:10907	SLC11A1	ENSG00000018280	solute carrier family 11 member 1	Solute carriers
Q13336	HGNC:10918	SLC14A1	ENSG00000141469	solute carrier family 14 member 1 (Kidd blood group)	Blood group antigens
Q16348	HGNC:10921	SLC15A2	ENSG00000163406	solute carrier family 15 member 2	Solute carriers
Q14916	HGNC:10929	SLC17A1	ENSG00000124568	solute carrier family 17 member 1	Solute carriers
O00476	HGNC:10931	SLC17A3	ENSG00000124564	solute carrier family 17 member 3	Solute carriers
Q9Y2C5	HGNC:10932	SLC17A4	ENSG00000146039	solute carrier family 17 member 4	Solute carriers
P43005	HGNC:10939	SLC1A1	ENSG00000106688	solute carrier family 1 member 1	Solute carriers
P43004	HGNC:10940	SLC1A2	ENSG00000110436	solute carrier family 1 member 2	Solute carriers
Q15758	HGNC:10943	SLC1A5	ENSG00000105281	solute carrier family 1 member 5	Solute carriers
O00341	HGNC:10945	SLC1A7	ENSG00000162383	solute carrier family 1 member 7	Solute carriers
Q9UIG8	HGNC:10952	SLCO3A1	ENSG00000176463	solute carrier organic anion transporter family member 3A1	Solute carriers
O15245	HGNC:10963	SLC22A1	ENSG00000175003	solute carrier family 22 member 1	Solute carriers
O15244	HGNC:10966	SLC22A2	ENSG00000112499	solute carrier family 22 member 2	Solute carriers
O75751	HGNC:10967	SLC22A3	ENSG00000146477	solute carrier family 22 member 3	Solute carriers
Q9H015	HGNC:10968	SLC22A4	ENSG00000197208	solute carrier family 22 member 4	Solute carriers
O76082	HGNC:10969	SLC22A5	ENSG00000197375	solute carrier family 22 member 5	Solute carriers
Q9UI40	HGNC:10976	SLC24A2	ENSG00000155886	solute carrier family 24 member 2	Solute carriers
Q7Z569	HGNC:1099	BRAP	ENSG00000089234	BRCA1 associated protein	Ring finger proteins
O00337	HGNC:11001	SLC28A1	ENSG00000156222	solute carrier family 28 member 1	Solute carriers
Q14542	HGNC:11004	SLC29A2	ENSG00000174669	solute carrier family 29 member 2	Solute carriers
P51587	HGNC:1101	BRCA2	ENSG00000139618	BRCA2, DNA repair associated	Fanconi anemia complementation groups
O95696	HGNC:1102	BRD1	ENSG00000100425	bromodomain containing 1	PHD finger proteins
P25440	HGNC:1103	BRD2	ENSG00000204256	bromodomain containing 2	None
Q9Y6M7	HGNC:11033	SLC4A7	ENSG00000033867	solute carrier family 4 member 7	Solute carriers
P53794	HGNC:11038	SLC5A3	ENSG00000198743	solute carrier family 5 member 3	Solute carriers
Q9NS82	HGNC:11058	SLC7A10	ENSG00000130876	solute carrier family 7 member 10	Solute carriers
P32418	HGNC:11068	SLC8A1	ENSG00000183023	solute carrier family 8 member A1	Solute carriers
Q07352	HGNC:1107	ZFP36L1	ENSG00000185650	ZFP36 ring finger protein like 1	Ring finger proteins
P48764	HGNC:11073	SLC9A3	ENSG00000066230	solute carrier family 9 member A3	Solute carriers
Q6AI14	HGNC:11077	SLC9A4	ENSG00000180251	solute carrier family 9 member A4	Solute carriers
P47974	HGNC:1108	ZFP36L2	ENSG00000152518	ZFP36 ring finger protein like 2	Ring finger proteins
Q9H2G2	HGNC:11088	SLK	ENSG00000065613	STE20 like kinase	None
P51532	HGNC:11100	SMARCA4	ENSG00000127616	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	None
Q969G3	HGNC:11109	SMARCE1	ENSG00000073584	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	None
O95863	HGNC:11128	SNAI1	ENSG00000124216	snail family transcriptional repressor 1	Zinc fingers C2H2-type
Q5SXM2	HGNC:11137	SNAPC4	ENSG00000165684	small nuclear RNA activating complex polypeptide 4	Myb/SANT domain containing
P37840	HGNC:11138	SNCA	ENSG00000145335	synuclein alpha	Parkinson disease associated genes
Q13884	HGNC:11168	SNTB1	ENSG00000172164	syntrophin beta 1	Pleckstrin homology domain containing
Q9UPA5	HGNC:1117	BSN	ENSG00000164061	bassoon presynaptic cytomatrix protein	Zinc fingers
P00441	HGNC:11179	SOD1	ENSG00000142168	superoxide dismutase 1, soluble	None
Q10588	HGNC:1118	BST1	ENSG00000109743	bone marrow stromal cell antigen 1	CD molecules
P04179	HGNC:11180	SOD2	ENSG00000112096	superoxide dismutase 2, mitochondrial	None
P08294	HGNC:11181	SOD3	ENSG00000109610	superoxide dismutase 3, extracellular	None
Q92673	HGNC:11185	SORL1	ENSG00000137642	sortilin related receptor 1	Fibronectin type III domain containing
Q99523	HGNC:11186	SORT1	ENSG00000134243	sortilin 1	None
O60248	HGNC:11196	SOX15	ENSG00000129194	SRY-box 15	SRY (sex determining region Y)-boxes
Q06945	HGNC:11200	SOX4	ENSG00000124766	SRY-box 4	SRY (sex determining region Y)-boxes
P35711	HGNC:11201	SOX5	ENSG00000134532	SRY-box 5	SRY (sex determining region Y)-boxes
P57073	HGNC:11203	SOX8	ENSG00000005513	SRY-box 8	SRY (sex determining region Y)-boxes
P48436	HGNC:11204	SOX9	ENSG00000125398	SRY-box 9	SRY (sex determining region Y)-boxes
Q15506	HGNC:11210	SPA17	ENSG00000064199	sperm autoantigenic protein 17	None
P43251	HGNC:1122	BTD	ENSG00000169814	biotinidase	None
Q01892	HGNC:11242	SPIB	ENSG00000269404	Spi-B transcription factor	ETS transcription factor family
Q9HCB6	HGNC:11252	SPON1	ENSG00000262655	spondin 1	None
O43791	HGNC:11254	SPOP	ENSG00000121067	speckle type BTB/POZ protein	BTB domain containing
P10451	HGNC:11255	SPP1	ENSG00000118785	secreted phosphoprotein 1	Endogenous ligands
Q13103	HGNC:11256	SPP2	ENSG00000072080	secreted phosphoprotein 2	None
O43597	HGNC:11270	SPRY2	ENSG00000136158	sprouty RTK signaling antagonist 2	None
Q01082	HGNC:11275	SPTBN1	ENSG00000115306	spectrin beta, non-erythrocytic 1	Pleckstrin homology domain containing
O15020	HGNC:11276	SPTBN2	ENSG00000173898	spectrin beta, non-erythrocytic 2	Pleckstrin homology domain containing
P36956	HGNC:11289	SREBF1	ENSG00000072310	sterol regulatory element binding transcription factor 1	Basic helix-loop-helix proteins
Q9H3Y6	HGNC:11298	SRMS	ENSG00000125508	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	SH2 domain containing
Q14714	HGNC:11322	SSPN	ENSG00000123096	sarcospan	None
P32745	HGNC:11332	SSTR3	ENSG00000278195	somatostatin receptor 3	Somatostatin receptors
P35346	HGNC:11334	SSTR5	ENSG00000162009	somatostatin receptor 5	Somatostatin receptors
P52630	HGNC:11363	STAT2	ENSG00000170581	signal transducer and activator of transcription 2	SH2 domain containing
P40763	HGNC:11364	STAT3	ENSG00000168610	signal transducer and activator of transcription 3	SH2 domain containing
Q14765	HGNC:11365	STAT4	ENSG00000138378	signal transducer and activator of transcription 4	SH2 domain containing
Q8WVV5	HGNC:1137	BTN2A2	ENSG00000124508	butyrophilin subfamily 2 member A2	Butyrophilins
P52823	HGNC:11373	STC1	ENSG00000159167	stanniocalcin 1	None
O76061	HGNC:11374	STC2	ENSG00000113739	stanniocalcin 2	None
O00481	HGNC:1138	BTN3A1	ENSG00000026950	butyrophilin subfamily 3 member A1	Butyrophilins
O94804	HGNC:11388	STK10	ENSG00000072786	serine/threonine kinase 10	None
P78410	HGNC:1139	BTN3A2	ENSG00000186470	butyrophilin subfamily 3 member A2	Butyrophilins
P49842	HGNC:11398	STK19	ENSG00000204344	serine/threonine kinase 19	None
P51957	HGNC:11399	NEK4	ENSG00000114904	NIMA related kinase 4	None
O00506	HGNC:11404	STK25	ENSG00000115694	serine/threonine kinase 25	None
Q9UIR0	HGNC:1142	BTNL2	ENSG00000204290	butyrophilin like 2	Butyrophilins
P56962	HGNC:11432	STX17	ENSG00000136874	syntaxin 17	Syntaxins
Q8WUJ0	HGNC:11447	STYX	ENSG00000198252	serine/threonine/tyrosine interacting protein	Atypical dual specificity phosphatases
P51687	HGNC:11460	SUOX	ENSG00000139531	sulfite oxidase	None
O75486	HGNC:11466	SUPT3H	ENSG00000196284	SPT3 homolog, SAGA and STAGA complex component	SAGA complex
P43405	HGNC:11491	SYK	ENSG00000165025	spleen associated tyrosine kinase	SH2 domain containing
Q92777	HGNC:11495	SYN2	ENSG00000157152	synapsin II	None
O14994	HGNC:11496	SYN3	ENSG00000185666	synapsin III	None
Q9H2B2	HGNC:11512	SYT4	ENSG00000132872	synaptotagmin 4	Synaptotagmins
Q9Y6A5	HGNC:11524	TACC3	ENSG00000013810	transforming acidic coiled-coil containing protein 3	None
O75478	HGNC:11531	TADA2A	ENSG00000276234	transcriptional adaptor 2A	Myb/SANT domain containing
Q53T94	HGNC:11533	TAF1B	ENSG00000115750	TATA-box binding protein associated factor, RNA polymerase I subunit B	None
Q92844	HGNC:11562	TANK	ENSG00000136560	TRAF family member associated NFKB activator	None
Q86TI0	HGNC:11578	TBC1D1	ENSG00000065882	TBC1 domain family member 1	None
Q15813	HGNC:11582	TBCE	ENSG00000116957	tubulin folding cofactor E	None
P20226	HGNC:11588	TBP	ENSG00000112592	TATA-box binding protein	General transcription factors
Q9UL17	HGNC:11599	TBX21	ENSG00000073861	T-box 21	T-boxes
O15119	HGNC:11602	TBX3	ENSG00000135111	T-box 3	T-boxes
Q99593	HGNC:11604	TBX5	ENSG00000089225	T-box 5	T-boxes
P24557	HGNC:11609	TBXAS1	ENSG00000059377	thromboxane A synthase 1	Cytochrome P450 family 5
P20823	HGNC:11621	HNF1A	ENSG00000135100	HNF1 homeobox A	HNF class homeoboxes
P35680	HGNC:11630	HNF1B	ENSG00000275410	HNF1 homeobox B	HNF class homeoboxes
O43680	HGNC:11632	TCF21	ENSG00000118526	transcription factor 21	Basic helix-loop-helix proteins
P15884	HGNC:11634	TCF4	ENSG00000196628	transcription factor 4	Basic helix-loop-helix proteins
P36402	HGNC:11639	TCF7	ENSG00000081059	transcription factor 7 (T-cell specific, HMG-box)	None
P61165	HGNC:1164	TMEM258	ENSG00000134825	transmembrane protein 258	None
Q9NQB0	HGNC:11641	TCF7L2	ENSG00000148737	transcription factor 7 like 2	None
Q9UH92	HGNC:11645	MLX	ENSG00000108788	MLX, MAX dimerization protein	Basic helix-loop-helix proteins
Q8IZS6	HGNC:11695	TCTE3	ENSG00000184786	t-complex-associated-testis-expressed 3	None
Q13530	HGNC:11699	SERINC3	ENSG00000132824	serine incorporator 3	None
P42680	HGNC:11719	TEC	ENSG00000135605	tec protein tyrosine kinase	Pleckstrin homology domain containing
Q10587	HGNC:11722	TEF	ENSG00000167074	TEF, PAR bZIP transcription factor	PAR bZIP family
P54274	HGNC:11728	TERF1	ENSG00000147601	telomeric repeat binding factor 1	Myb/SANT domain containing
O14746	HGNC:11730	TERT	ENSG00000164362	telomerase reverse transcriptase	None
P02787	HGNC:11740	TF	ENSG00000091513	transferrin	Transferrins
Q00059	HGNC:11741	TFAM	ENSG00000108064	transcription factor A, mitochondrial	None
Q92481	HGNC:11743	TFAP2B	ENSG00000008196	transcription factor AP-2 beta	None
P19484	HGNC:11753	TFEB	ENSG00000112561	transcription factor EB	Basic helix-loop-helix proteins
P04155	HGNC:11755	TFF1	ENSG00000160182	trefoil factor 1	None
Q03403	HGNC:11756	TFF2	ENSG00000160181	trefoil factor 2	None
P10646	HGNC:11760	TFPI	ENSG00000003436	tissue factor pathway inhibitor	None
P02786	HGNC:11763	TFRC	ENSG00000072274	transferrin receptor	CD molecules
P01266	HGNC:11764	TG	ENSG00000042832	thyroglobulin	None
P01137	HGNC:11766	TGFB1	ENSG00000105329	transforming growth factor beta 1	Endogenous ligands
P36897	HGNC:11772	TGFBR1	ENSG00000106799	transforming growth factor beta receptor 1	Type 1 receptor serine/threonine kinases
P37173	HGNC:11773	TGFBR2	ENSG00000163513	transforming growth factor beta receptor 2	Type 2 receptor serine/threonine kinases
Q03167	HGNC:11774	TGFBR3	ENSG00000069702	transforming growth factor beta receptor 3	Proteoglycans
O43548	HGNC:11781	TGM5	ENSG00000104055	transglutaminase 5	Transglutaminases
P07101	HGNC:11782	TH	ENSG00000180176	tyrosine hydroxylase	None
Q15777	HGNC:1180	MPPED2	ENSG00000066382	metallophosphoesterase domain containing 2	None
Q13009	HGNC:11805	TIAM1	ENSG00000156299	T-cell lymphoma invasion and metastasis 1	Pleckstrin homology domain containing
Q13118	HGNC:11810	KLF10	ENSG00000155090	Kruppel like factor 10	Zinc fingers C2H2-type
O14901	HGNC:11811	KLF11	ENSG00000172059	Kruppel like factor 11	Zinc fingers C2H2-type
P35625	HGNC:11822	TIMP3	ENSG00000100234	TIMP metallopeptidase inhibitor 3	Tissue inhibitor of metallopeptidases
P43699	HGNC:11825	NKX2-1	ENSG00000136352	NK2 homeobox 1	NKL subclass homeoboxes and pseudogenes
Q9UDY2	HGNC:11828	TJP2	ENSG00000119139	tight junction protein 2	Membrane associated guanylate kinases
Q9NQ90	HGNC:1183	ANO2	ENSG00000047617	anoctamin 2	Anoctamins
Q04727	HGNC:11840	TLE4	ENSG00000106829	transducin like enhancer of split 4	WD repeat domain containing
O43897	HGNC:11843	TLL1	ENSG00000038295	tolloid like 1	Astacins
Q9Y6L7	HGNC:11844	TLL2	ENSG00000095587	tolloid like 2	Astacins
Q9NQ88	HGNC:1185	TIGAR	ENSG00000078237	TP53 induced glycolysis regulatory phosphatase	Sugar phosphatases
O00206	HGNC:11850	TLR4	ENSG00000136869	toll like receptor 4	CD molecules
P19075	HGNC:11855	TSPAN8	ENSG00000127324	tetraspanin 8	Tetraspanins
P28289	HGNC:11871	TMOD1	ENSG00000136842	tropomodulin 1	Tropomodulins
P01375	HGNC:11892	TNF	ENSG00000232810	tumor necrosis factor	Tumor necrosis factor superfamily
Q03169	HGNC:11895	TNFAIP2	ENSG00000185215	TNF alpha induced protein 2	None
P21580	HGNC:11896	TNFAIP3	ENSG00000118503	TNF alpha induced protein 3	OTU domain containing
P98066	HGNC:11898	TNFAIP6	ENSG00000123610	TNF alpha induced protein 6	None
O00220	HGNC:11904	TNFRSF10A	ENSG00000104689	TNF receptor superfamily member 10a	CD molecules
Q9Y6Q6	HGNC:11908	TNFRSF11A	ENSG00000141655	TNF receptor superfamily member 11a	CD molecules
O00300	HGNC:11909	TNFRSF11B	ENSG00000164761	TNF receptor superfamily member 11b	Tumor necrosis factor receptor superfamily
Q92956	HGNC:11912	TNFRSF14	ENSG00000157873	TNF receptor superfamily member 14	CD molecules
Q9NS68	HGNC:11915	TNFRSF19	ENSG00000127863	TNF receptor superfamily member 19	Tumor necrosis factor receptor superfamily
P19438	HGNC:11916	TNFRSF1A	ENSG00000067182	TNF receptor superfamily member 1A	CD molecules
P25942	HGNC:11919	CD40	ENSG00000101017	CD40 molecule	CD molecules
P25445	HGNC:11920	FAS	ENSG00000026103	Fas cell surface death receptor	CD molecules
O95407	HGNC:11921	TNFRSF6B	ENSG00000243509	TNF receptor superfamily member 6b	Tumor necrosis factor receptor superfamily
Q07011	HGNC:11924	TNFRSF9	ENSG00000049249	TNF receptor superfamily member 9	CD molecules
O14788	HGNC:11926	TNFSF11	ENSG00000120659	tumor necrosis factor superfamily member 11	CD molecules
O75888	HGNC:11928	TNFSF13	ENSG00000161955	tumor necrosis factor superfamily member 13	CD molecules
O43557	HGNC:11930	TNFSF14	ENSG00000125735	tumor necrosis factor superfamily member 14	CD molecules
O95150	HGNC:11931	TNFSF15	ENSG00000181634	tumor necrosis factor superfamily member 15	Tumor necrosis factor superfamily
Q9UNG2	HGNC:11932	TNFSF18	ENSG00000120337	tumor necrosis factor superfamily member 18	Tumor necrosis factor superfamily
P23510	HGNC:11934	TNFSF4	ENSG00000117586	tumor necrosis factor superfamily member 4	CD molecules
P48023	HGNC:11936	FASLG	ENSG00000117560	Fas ligand	CD molecules
P32971	HGNC:11938	TNFSF8	ENSG00000106952	tumor necrosis factor superfamily member 8	CD molecules
O95271	HGNC:11941	TNKS	ENSG00000173273	tankyrase	Ankyrin repeat domain containing
P63316	HGNC:11943	TNNC1	ENSG00000114854	troponin C1, slow skeletal and cardiac type	EF-hand domain containing
P45378	HGNC:11950	TNNT3	ENSG00000130595	troponin T3, fast skeletal type	Troponin complex subunits
P09430	HGNC:11951	TNP1	ENSG00000118245	transition protein 1	None
Q05952	HGNC:11952	TNP2	ENSG00000178279	transition protein 2 (during histone to protamine replacement)	None
O15405	HGNC:11972	TOX3	ENSG00000103460	TOX high mobility group box family member 3	Trinucleotide repeat containing
P22105	HGNC:11976	TNXB	ENSG00000168477	tenascin XB	Fibrinogen C domain containing
Q14106	HGNC:11980	TOB2	ENSG00000183864	transducer of ERBB2, 2	BTG/Tob family
O43399	HGNC:12007	TPD52L2	ENSG00000101150	tumor protein D52 like 2	None
P01848	HGNC:12027	TRAC	None	T-cell receptor alpha locus	T-cell receptor alpha locus at 14q11.2
Q13077	HGNC:12031	TRAF1	ENSG00000056558	TNF receptor associated factor 1	TNF receptor associated factors
O43280	HGNC:12266	TREH	ENSG00000118094	trehalase	None
Q9UBN4	HGNC:12336	TRPC4	ENSG00000133107	transient receptor potential cation channel subfamily C member 4	Transient receptor potential cation channels
Q92574	HGNC:12362	TSC1	ENSG00000165699	tuberous sclerosis 1	None
P16473	HGNC:12373	TSHR	ENSG00000165409	thyroid stimulating hormone receptor	Glycoprotein hormone receptors
Q15672	HGNC:12428	TWIST1	ENSG00000122691	twist family bHLH transcription factor 1	Basic helix-loop-helix proteins
Q9GZX9	HGNC:12429	TWSG1	ENSG00000128791	twisted gastrulation BMP signaling modulator 1	None
P42681	HGNC:12434	TXK	ENSG00000074966	TXK tyrosine kinase	SH2 domain containing
P29597	HGNC:12440	TYK2	ENSG00000105397	tyrosine kinase 2	FERM domain containing
P14679	HGNC:12442	TYR	ENSG00000077498	tyrosinase	None
P57075	HGNC:12462	UBASH3A	ENSG00000160185	ubiquitin associated and SH3 domain containing A	None
P41226	HGNC:12471	UBA7	ENSG00000182179	ubiquitin like modifier activating enzyme 7	Ubiquitin-like activating enzymes
P51668	HGNC:12474	UBE2D1	ENSG00000072401	ubiquitin conjugating enzyme E2 D1	Ubiquitin conjugating enzymes E2
Q969T4	HGNC:12479	UBE2E3	ENSG00000170035	ubiquitin conjugating enzyme E2 E3	Ubiquitin conjugating enzymes E2
P06681	HGNC:1248	C2	ENSG00000166278	complement component 2	Complement system
P68036	HGNC:12488	UBE2L3	ENSG00000185651	ubiquitin conjugating enzyme E2 L3	Ubiquitin conjugating enzymes E2
O95155	HGNC:12500	UBE4B	ENSG00000130939	ubiquitination factor E4B	U-box domain containing
